source,target,auc,checkpoint_step
ukr_rus_twitter,ukr_rus_twitter,0.9927416326530611,44000
ukr_rus_twitter,covid19_twitter,0.9645024489795916,44000
ukr_rus_twitter,midterm,0.9477927551020408,44000
ukr_rus_twitter,covid_political,0.9610995918367348,44000
ukr_rus_twitter,election2020,0.8627911224489796,44000
ukr_rus_twitter,ukr_rus_suspended,0.9539764285714286,44000
ukr_rus_twitter,twibot20,0.9439454081632652,44000
ukr_rus_twitter,cp_hk_twitter,0.9745355102040816,44000
ukr_rus_twitter,facebook_page_reference,0.8886569387755102,44000
covid19_twitter,ukr_rus_twitter,0.9805205102040816,42000
covid19_twitter,covid19_twitter,0.9825095918367344,42000
covid19_twitter,midterm,0.943325306122449,42000
covid19_twitter,covid_political,0.9728407142857142,42000
covid19_twitter,election2020,0.8721063265306122,42000
covid19_twitter,ukr_rus_suspended,0.9291173469387756,42000
covid19_twitter,twibot20,0.9497081632653062,42000
covid19_twitter,cp_hk_twitter,0.9738572448979592,42000
covid19_twitter,facebook_page_reference,0.906707448979592,42000
midterm,ukr_rus_twitter,0.9487611224489796,18000
midterm,covid19_twitter,0.928546224489796,18000
midterm,midterm,0.9822438265306124,18000
midterm,covid_political,0.9510196938775508,18000
midterm,election2020,0.8605851020408164,18000
midterm,ukr_rus_suspended,0.9014083673469389,18000
midterm,twibot20,0.901232551020408,18000
midterm,cp_hk_twitter,0.944605,18000
midterm,facebook_page_reference,0.7948536734693876,18000
covid_political,ukr_rus_twitter,0.8925727040816325,14000
covid_political,covid19_twitter,0.8400895408163265,14000
covid_political,midterm,0.8401097959183674,14000
covid_political,covid_political,0.9729001020408162,14000
covid_political,election2020,0.8731461734693877,14000
covid_political,ukr_rus_suspended,0.8083391836734696,14000
covid_political,twibot20,0.8575233673469388,14000
covid_political,cp_hk_twitter,0.7541048979591838,14000
covid_political,facebook_page_reference,0.6809741836734694,14000
election2020,ukr_rus_twitter,0.8430746428571428,48000
election2020,covid19_twitter,0.781109744897959,48000
election2020,midterm,0.8042497959183673,48000
election2020,covid_political,0.8927609693877552,48000
election2020,election2020,0.9861519897959184,48000
election2020,ukr_rus_suspended,0.7479483673469387,48000
election2020,twibot20,0.7997808163265305,48000
election2020,cp_hk_twitter,0.8152811224489794,48000
election2020,facebook_page_reference,0.6152553571428572,48000
ukr_rus_suspended,ukr_rus_twitter,0.9350313265306124,14000
ukr_rus_suspended,covid19_twitter,0.8968438775510205,14000
ukr_rus_suspended,midterm,0.8319240816326532,14000
ukr_rus_suspended,covid_political,0.8715786734693878,14000
ukr_rus_suspended,election2020,0.7992133673469388,14000
ukr_rus_suspended,ukr_rus_suspended,0.961505102040816,14000
ukr_rus_suspended,twibot20,0.8515476020408164,14000
ukr_rus_suspended,cp_hk_twitter,0.8638235714285715,14000
ukr_rus_suspended,facebook_page_reference,0.7877148979591836,14000
twibot20,ukr_rus_twitter,0.9556688775510204,48000
twibot20,covid19_twitter,0.9488992857142856,48000
twibot20,midterm,0.9152795408163266,48000
twibot20,covid_political,0.9656317346938776,48000
twibot20,election2020,0.8832512244897959,48000
twibot20,ukr_rus_suspended,0.8870766326530614,48000
twibot20,twibot20,0.9777826020408164,48000
twibot20,cp_hk_twitter,0.9225127040816328,48000
twibot20,facebook_page_reference,0.8551308163265305,48000
cp_hk_twitter,ukr_rus_twitter,0.9469777551020409,16000
cp_hk_twitter,covid19_twitter,0.9068125510204084,16000
cp_hk_twitter,midterm,0.8976513265306123,16000
cp_hk_twitter,covid_political,0.9038176020408164,16000
cp_hk_twitter,election2020,0.7561997959183674,16000
cp_hk_twitter,ukr_rus_suspended,0.889140306122449,16000
cp_hk_twitter,twibot20,0.8447944897959183,16000
cp_hk_twitter,cp_hk_twitter,0.9955540816326532,16000
cp_hk_twitter,facebook_page_reference,0.7832795918367347,16000
facebook_page_reference,ukr_rus_twitter,0.9522508163265307,6000
facebook_page_reference,covid19_twitter,0.922419336734694,6000
facebook_page_reference,midterm,0.8370626530612244,6000
facebook_page_reference,covid_political,0.8739727551020409,6000
facebook_page_reference,election2020,0.6889163265306122,6000
facebook_page_reference,ukr_rus_suspended,0.8912747959183673,6000
facebook_page_reference,twibot20,0.8690514285714287,6000
facebook_page_reference,cp_hk_twitter,0.886958163265306,6000
facebook_page_reference,facebook_page_reference,0.9520388775510203,6000
