model_id,seed,checkpoint_update,n_sources,sources,aliases,loss,accuracy,positive_probability,negative_probability,probability_margin
ss_covid19_twitter,39,20,1,covid19_twitter,specialist:covid19_twitter,1.7346746524175007,0.6373303532600403,0.9123480121294657,0.7022445632351769,0.2101034488942888
ss_covid19_twitter,39,60,1,covid19_twitter,specialist:covid19_twitter,0.13290801932129803,0.9836579163869222,0.989601751168569,0.028448463204161573,0.9611532953050401
ss_covid19_twitter,39,180,1,covid19_twitter,specialist:covid19_twitter,0.1213654106395552,0.9860835406515334,0.9945584999190437,0.024460196876033378,0.9700983100467258
ss_covid19_twitter,39,500,1,covid19_twitter,specialist:covid19_twitter,0.12764781460343025,0.9867735770013597,0.9959883623652988,0.02413211271156494,0.9718562497033013
ss_covid19_twitter,40,20,1,covid19_twitter,specialist:covid19_twitter,1.9286757972505357,0.59630329741372,0.8965586755010817,0.7664806048075358,0.13007807069354588
ss_covid19_twitter,40,60,1,covid19_twitter,specialist:covid19_twitter,0.15531427904756534,0.9799493153889974,0.9767584602038065,0.031186382510996837,0.9455720848507352
ss_covid19_twitter,40,180,1,covid19_twitter,specialist:covid19_twitter,0.0795210956744591,0.9887314505047269,0.9899104436238607,0.016944145142285077,0.972966300116645
ss_covid19_twitter,40,500,1,covid19_twitter,specialist:covid19_twitter,0.06407959395356658,0.9932234817081027,0.99279475874371,0.010431105109723325,0.9823636478847928
ss_covid19_twitter,41,20,1,covid19_twitter,specialist:covid19_twitter,2.0402518775728016,0.5749515692392985,0.8826799790064493,0.8030686775843302,0.07961130142211914
ss_covid19_twitter,41,60,1,covid19_twitter,specialist:covid19_twitter,0.24736628169193864,0.9746049576335483,0.9793197380171882,0.040984425718812015,0.9383353127373589
ss_covid19_twitter,41,180,1,covid19_twitter,specialist:covid19_twitter,0.1943369314160211,0.9816866715749105,0.9918828871515062,0.03198324321622042,0.9598996374342177
ss_covid19_twitter,41,500,1,covid19_twitter,specialist:covid19_twitter,0.1835800332765858,0.9839057723681132,0.9939694470829434,0.02747784554440437,0.966491593254937
ss_covid_political,39,20,1,covid_political,specialist:covid_political,0.4977613058355119,0.7979041337966919,0.8031853702333238,0.46198492579989964,0.34120044112205505
ss_covid_political,39,60,1,covid_political,specialist:covid_political,0.06132463264899949,0.9784427947468228,0.9353637629085116,0.0072957690831066836,0.9280679954422845
ss_covid_political,39,180,1,covid_political,specialist:covid_political,0.04257663924201754,0.9865965313381619,0.9684294660886129,0.0007821452567845376,0.9676473339398702
ss_covid_political,39,500,1,covid_political,specialist:covid_political,0.033249166333916946,0.9949206047587924,0.982386032740275,0.000257938427593116,0.9821280969513787
ss_covid_political,40,20,1,covid_political,specialist:covid_political,0.5679233074188232,0.7657986084620158,0.7885040375921462,0.49455807275242275,0.2939459615283542
ss_covid_political,40,60,1,covid_political,specialist:covid_political,0.06416173500474542,0.9769345058335198,0.9401397969987657,0.009098115351258053,0.9310416844156053
ss_covid_political,40,180,1,covid_political,specialist:covid_political,0.04829211827503362,0.9847335484292772,0.9651197724872165,0.0030465055343585038,0.9620732598834567
ss_covid_political,40,500,1,covid_political,specialist:covid_political,0.03485730092951497,0.9938694834709167,0.980908195177714,0.0027550248104388528,0.9781531757778592
ss_covid_political,41,20,1,covid_political,specialist:covid_political,0.7402650482124753,0.6748807297812568,0.7682605120870802,0.5875566237502627,0.18070388833681741
ss_covid_political,41,60,1,covid_political,specialist:covid_political,0.07606639842399293,0.969033784336514,0.9137610130839877,0.006056479618160261,0.9077045321464539
ss_covid_political,41,180,1,covid_political,specialist:covid_political,0.06850918354595908,0.9772874580489265,0.9465191298060947,0.00022605959424658472,0.9462930692566766
ss_covid_political,41,500,1,covid_political,specialist:covid_political,0.05380379540535311,0.9838058551152548,0.9651600387361314,4.283451441248568e-05,0.9651171962420145
ss_cp_hk_twitter,39,20,1,cp_hk_twitter,specialist:cp_hk_twitter,2.449571900897556,0.5616177188025581,0.8912382059627109,0.8387951718436347,0.0524430341190762
ss_cp_hk_twitter,39,60,1,cp_hk_twitter,specialist:cp_hk_twitter,0.23108014116425896,0.9747308492660522,0.9930462903446622,0.0540533565929056,0.9389929307831658
