order,rung,n_sources,target_step,added_dataset,sources,dataset,entry_rung,rel_to_entry,in_training,test_accuracy,test_f1,test_roc_auc,model,artifact_order,shared_all8_artifact,evidence_path
A,1,1,10000,ukr_rus_twitter,ukr_rus_twitter,covid19_twitter,2,-1,False,0.5839111111111112,0.5838724930247373,0.9686388991060024,nm_ladder_fx10k_h2m_ordA_r1,A,False,log/eval_nm_ladder_fx10k_h2m_ordA_r1_to_covid19_twitter_nm_3shot_30way_02_08_2026_13_32_06/data/metrics_test_step0.json
A,1,1,10000,ukr_rus_twitter,ukr_rus_twitter,covid_political,4,-3,False,0.1640277777777777,0.1637187635403442,0.849269073595147,nm_ladder_fx10k_h2m_ordA_r1,A,False,log/eval_nm_ladder_fx10k_h2m_ordA_r1_to_covid_political_nm_3shot_30way_02_08_2026_13_55_33/data/metrics_test_step0.json
A,1,1,10000,ukr_rus_twitter,ukr_rus_twitter,cp_hk_twitter,8,-7,False,0.15755,0.1575737785007392,0.723828675862069,nm_ladder_fx10k_h2m_ordA_r1,A,False,log/eval_nm_ladder_fx10k_h2m_ordA_r1_to_cp_hk_twitter_nm_3shot_30way_02_08_2026_14_10_49/data/metrics_test_step0.json
A,1,1,10000,ukr_rus_twitter,ukr_rus_twitter,election2020,5,-4,False,0.1376,0.1364694034288537,0.834599335632184,nm_ladder_fx10k_h2m_ordA_r1,A,False,log/eval_nm_ladder_fx10k_h2m_ordA_r1_to_election2020_nm_3shot_30way_02_08_2026_14_01_57/data/metrics_test_step0.json
A,1,1,10000,ukr_rus_twitter,ukr_rus_twitter,midterm,3,-2,False,0.2850166666666666,0.2878294718966845,0.8770630454980844,nm_ladder_fx10k_h2m_ordA_r1,A,False,log/eval_nm_ladder_fx10k_h2m_ordA_r1_to_midterm_nm_3shot_30way_02_08_2026_13_46_05/data/metrics_test_step0.json
A,1,1,10000,ukr_rus_twitter,ukr_rus_twitter,twibot20,7,-6,False,0.3604,0.3603215691174844,0.9081055982918264,nm_ladder_fx10k_h2m_ordA_r1,A,False,log/eval_nm_ladder_fx10k_h2m_ordA_r1_to_twibot20_nm_3shot_30way_02_08_2026_14_05_15/data/metrics_test_step0.json
A,1,1,10000,ukr_rus_twitter,ukr_rus_twitter,ukr_rus_suspended,6,-5,False,0.2345333333333333,0.2345476516265766,0.8147094114942528,nm_ladder_fx10k_h2m_ordA_r1,A,False,log/eval_nm_ladder_fx10k_h2m_ordA_r1_to_ukr_rus_suspended_nm_3shot_30way_02_08_2026_14_03_34/data/metrics_test_step0.json
A,1,1,10000,ukr_rus_twitter,ukr_rus_twitter,ukr_rus_twitter,1,0,True,0.4781833333333333,0.4782048231795746,0.9381256633620688,nm_ladder_fx10k_h2m_ordA_r1,A,False,log/eval_nm_ladder_fx10k_h2m_ordA_r1_to_ukr_rus_twitter_nm_3shot_30way_02_08_2026_13_23_51/data/metrics_test_step0.json
A,2,2,20000,covid19_twitter,"ukr_rus_twitter,covid19_twitter",covid19_twitter,2,0,True,0.6404944444444445,0.640442008739712,0.9781387495689654,nm_ladder_fx10k_h2m_ordA_r2,A,False,log/eval_nm_ladder_fx10k_h2m_ordA_r2_to_covid19_twitter_nm_3shot_30way_02_08_2026_13_34_35/data/metrics_test_step0.json
A,2,2,20000,covid19_twitter,"ukr_rus_twitter,covid19_twitter",covid_political,4,-2,False,0.1741888888888889,0.1741590718926575,0.8541287472701149,nm_ladder_fx10k_h2m_ordA_r2,A,False,log/eval_nm_ladder_fx10k_h2m_ordA_r2_to_covid_political_nm_3shot_30way_02_08_2026_13_55_36/data/metrics_test_step0.json
A,2,2,20000,covid19_twitter,"ukr_rus_twitter,covid19_twitter",cp_hk_twitter,8,-6,False,0.1555166666666666,0.1553957413987094,0.7177069556034483,nm_ladder_fx10k_h2m_ordA_r2,A,False,log/eval_nm_ladder_fx10k_h2m_ordA_r2_to_cp_hk_twitter_nm_3shot_30way_02_08_2026_14_12_13/data/metrics_test_step0.json
A,2,2,20000,covid19_twitter,"ukr_rus_twitter,covid19_twitter",election2020,5,-3,False,0.1426,0.1424725763245798,0.8390638321839082,nm_ladder_fx10k_h2m_ordA_r2,A,False,log/eval_nm_ladder_fx10k_h2m_ordA_r2_to_election2020_nm_3shot_30way_02_08_2026_14_01_58/data/metrics_test_step0.json
A,2,2,20000,covid19_twitter,"ukr_rus_twitter,covid19_twitter",midterm,3,-1,False,0.2973166666666667,0.2979991872907988,0.8855703485153257,nm_ladder_fx10k_h2m_ordA_r2,A,False,log/eval_nm_ladder_fx10k_h2m_ordA_r2_to_midterm_nm_3shot_30way_02_08_2026_13_47_54/data/metrics_test_step0.json
