,run_id,display_name,state,dataset,task_name,prefix,pretrained_model_run,n_shots,n_way,n_query,zero_shot,test_accuracy,train_accuracy,test_f1,test_roc_auc,created_at,steps,tags,input_dim,eval_only,shot_label,eval1_dataset,trained_on_display_name,month/day
0,c5ullev7,train3_exp3_covid_nm_to_ukr_rus_nm_to_election2020_nm_28_04_2026_07_06_26,crashed,election2020,nm,train3_exp3_covid_nm_to_ukr_rus_nm_to_election2020_nm,/scratch1/singhama/data/experiments/exp3_train2_covid_nm_to_ukr_rus_nm_16_04_2026_13_39_26/checkpoint/state_dict_30000.ckpt,3.0,3.0,12.0,False,0.6730333333333334,,0.6729856497010073,0.884956940185185,2026-04-28 14:06:29+00:00,3685.0,[],384.0,False,3.0,election2020,exp3_train2_covid_nm_to_ukr_rus_nm_16_04_2026_13_39_26,4/28
1,qk6uf2kq,train3_exp15_ukr_rus_nm_to_covid_nm_to_covid_political_nm_28_04_2026_07_06_26,failed,covid_political,nm,train3_exp15_ukr_rus_nm_to_covid_nm_to_covid_political_nm,/scratch1/singhama/data/experiments/exp15_train2_ukr_rus_nm_to_covid_nm_23_04_2026_13_33_55/state_dict,3.0,3.0,12.0,False,,,,,2026-04-28 14:06:27+00:00,,[],384.0,False,3.0,covid_political,exp15_train2_ukr_rus_nm_to_covid_nm_23_04_2026_13_33_55,4/28
2,kj7k8und,train3_exp1_midterm_nm_to_covid_nm_to_ukr_rus_nm_28_04_2026_07_05_55,crashed,ukr_rus_twitter,nm,train3_exp1_midterm_nm_to_covid_nm_to_ukr_rus_nm,/scratch1/singhama/data/experiments/train2_midterm_nm_to_covid_nm_16_04_2026_10_07_00/state_dict,3.0,2.0,8.0,False,0.95385,,0.9538938008891552,0.99230570625,2026-04-28 14:06:11+00:00,22637.0,[],384.0,False,3.0,ukr_rus_twitter,train2_midterm_nm_to_covid_nm_16_04_2026_10_07_00,4/28
3,204u9rd4,train3_exp13_covid_nm_to_midterm_nm_to_ukr_rus_nm_28_04_2026_07_05_56,failed,ukr_rus_twitter,nm,train3_exp13_covid_nm_to_midterm_nm_to_ukr_rus_nm,/scratch1/singhama/data/experiments/exp13_train2_covid_nm_to_midterm_nm_23_04_2026_13_24_00/checkpoint/state_dict_15000.ckpt,3.0,2.0,8.0,False,,,,,2026-04-28 14:06:11+00:00,,[],384.0,False,3.0,ukr_rus_twitter,exp13_train2_covid_nm_to_midterm_nm_23_04_2026_13_24_00,4/28
4,cpx3elhm,train3_exp3_covid_nm_to_ukr_rus_nm_to_covid_political_nm_28_04_2026_07_06_05,crashed,covid_political,nm,train3_exp3_covid_nm_to_ukr_rus_nm_to_covid_political_nm,/scratch1/singhama/data/experiments/exp3_train2_covid_nm_to_ukr_rus_nm_16_04_2026_13_39_26/checkpoint/state_dict_30000.ckpt,3.0,3.0,12.0,False,0.7332,,0.733229109540097,0.9165226269444444,2026-04-28 14:06:06+00:00,9000.0,[],384.0,False,3.0,covid_political,exp3_train2_covid_nm_to_ukr_rus_nm_16_04_2026_13_39_26,4/28
5,dzvf64xv,train3_exp13_covid_nm_to_midterm_nm_to_covid_political_nm_28_04_2026_07_06_00,failed,covid_political,nm,train3_exp13_covid_nm_to_midterm_nm_to_covid_political_nm,/scratch1/singhama/data/experiments/exp13_train2_covid_nm_to_midterm_nm_23_04_2026_13_24_00/checkpoint/state_dict_15000.ckpt,3.0,3.0,12.0,False,,,,,2026-04-28 14:06:02+00:00,,[],384.0,False,3.0,covid_political,exp13_train2_covid_nm_to_midterm_nm_23_04_2026_13_24_00,4/28
6,r8p5czz5,train3_exp2_midterm_nm_to_ukr_rus_nm_to_covid_nm_28_04_2026_07_05_55,crashed,covid19_twitter,nm,train3_exp2_midterm_nm_to_ukr_rus_nm_to_covid_nm,/scratch1/singhama/data/experiments/exp2_train2_midterm_nm_to_ukr_rus_nm_16_04_2026_10_32_38/checkpoint/state_dict_27000.ckpt,3.0,3.0,8.0,False,0.9691666666666666,,0.9691660566010408,0.9978122875,2026-04-28 14:06:01+00:00,40964.0,[],384.0,False,3.0,covid19_twitter,exp2_train2_midterm_nm_to_ukr_rus_nm_16_04_2026_10_32_38,4/28
7,8ae2aex2,train3_exp14_ukr_rus_nm_to_midterm_nm_to_covid_nm_28_04_2026_07_05_55,failed,covid19_twitter,nm,train3_exp14_ukr_rus_nm_to_midterm_nm_to_covid_nm,/scratch1/singhama/data/experiments/exp14_train2_ukr_rus_nm_to_midterm_nm_23_04_2026_13_26_26/checkpoint/state_dict_12000.ckpt,3.0,3.0,8.0,False,,,,,2026-04-28 14:06:01+00:00,,[],384.0,False,3.0,covid19_twitter,exp14_train2_ukr_rus_nm_to_midterm_nm_23_04_2026_13_26_26,4/28
8,umpmrwus,train3_exp1_midterm_nm_to_covid_nm_to_election2020_nm_28_04_2026_07_05_55,crashed,election2020,nm,train3_exp1_midterm_nm_to_covid_nm_to_election2020_nm,/scratch1/singhama/data/experiments/train2_midterm_nm_to_covid_nm_16_04_2026_10_07_00/state_dict,3.0,3.0,12.0,False,0.6761111111111111,,0.6761101978571494,0.8862653059259259,2026-04-28 14:05:58+00:00,3633.0,[],384.0,False,3.0,election2020,train2_midterm_nm_to_covid_nm_16_04_2026_10_07_00,4/28
9,0mpwb58z,train3_exp3_covid_nm_to_ukr_rus_nm_to_midterm_nm_28_04_2026_07_05_55,crashed,midterm,nm,train3_exp3_covid_nm_to_ukr_rus_nm_to_midterm_nm,/scratch1/singhama/data/experiments/exp3_train2_covid_nm_to_ukr_rus_nm_16_04_2026_13_39_26/checkpoint/state_dict_30000.ckpt,3.0,3.0,24.0,False,0.8438388888888889,,0.843843672968756,0.9676111052083334,2026-04-28 14:05:58+00:00,7508.0,[],384.0,False,3.0,midterm,exp3_train2_covid_nm_to_ukr_rus_nm_16_04_2026_13_39_26,4/28
