target,sources,seed,checkpoint_step,roc_auc_ovr_macro,f1_macro,accuracy,classes,support_nodes,test_nodes,checkpoint
cora,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed",0,100,0.9084589095822697,0.6555680845906394,0.6830932524639879,7,70,2638,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_cora_s0/checkpoints/step_100.pt
cora,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed",0,2500,0.9282704529609633,0.675483154776192,0.7047005307050797,7,70,2638,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_cora_s0/checkpoints/step_2500.pt
cora,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed",0,300,0.8746036663578602,0.5434527772608347,0.5693707354056103,7,70,2638,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_cora_s0/checkpoints/step_300.pt
cora,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,pubmed",0,900,0.9070439085743713,0.6196033203294039,0.650871872630781,7,70,2638,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_cora_s0/checkpoints/step_900.pt
covid_political,"ukr_rus_suspended,election2020,twibot20,facebook_page_reference,cora,pubmed",0,100,0.8896146672299312,0.8005104118029978,0.8400930681991557,2,20,78652,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_covid_political_s0/checkpoints/step_100.pt
covid_political,"ukr_rus_suspended,election2020,twibot20,facebook_page_reference,cora,pubmed",0,2500,0.8300063049234835,0.6802292088963025,0.7171209886589025,2,20,78652,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_covid_political_s0/checkpoints/step_2500.pt
covid_political,"ukr_rus_suspended,election2020,twibot20,facebook_page_reference,cora,pubmed",0,300,0.8903811399322409,0.8123969335610162,0.8543457254742409,2,20,78652,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_covid_political_s0/checkpoints/step_300.pt
covid_political,"ukr_rus_suspended,election2020,twibot20,facebook_page_reference,cora,pubmed",0,900,0.899132744106486,0.7992358726842286,0.8386563596602756,2,20,78652,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_covid_political_s0/checkpoints/step_900.pt
election2020,"covid_political,ukr_rus_suspended,twibot20,facebook_page_reference,cora,pubmed",0,100,0.8894781951217237,0.805116847569633,0.8062905515004055,2,20,78912,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_election2020_s0/checkpoints/step_100.pt
election2020,"covid_political,ukr_rus_suspended,twibot20,facebook_page_reference,cora,pubmed",0,2500,0.9830053386470874,0.9691571226954507,0.9693202554744526,2,20,78912,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_election2020_s0/checkpoints/step_2500.pt
election2020,"covid_political,ukr_rus_suspended,twibot20,facebook_page_reference,cora,pubmed",0,300,0.9326864250112236,0.8551186977288305,0.8560675182481752,2,20,78912,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_election2020_s0/checkpoints/step_300.pt
election2020,"covid_political,ukr_rus_suspended,twibot20,facebook_page_reference,cora,pubmed",0,900,0.9806863400330611,0.9517020097623083,0.9518704379562044,2,20,78912,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_election2020_s0/checkpoints/step_900.pt
facebook_page_reference,"covid_political,ukr_rus_suspended,election2020,twibot20,cora,pubmed",0,100,0.8006752145580868,0.16426658697053392,0.22401759339502203,30,300,107313,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_facebook_page_reference_s0/checkpoints/step_100.pt
facebook_page_reference,"covid_political,ukr_rus_suspended,election2020,twibot20,cora,pubmed",0,2500,0.7860631785658457,0.16964334673987483,0.2083344981502707,30,300,107313,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_facebook_page_reference_s0/checkpoints/step_2500.pt
facebook_page_reference,"covid_political,ukr_rus_suspended,election2020,twibot20,cora,pubmed",0,300,0.7544923267837179,0.1163307381380189,0.18404107610447942,30,300,107313,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_facebook_page_reference_s0/checkpoints/step_300.pt
facebook_page_reference,"covid_political,ukr_rus_suspended,election2020,twibot20,cora,pubmed",0,900,0.7625351886844262,0.139324990034147,0.18331423033556046,30,300,107313,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_facebook_page_reference_s0/checkpoints/step_900.pt
pubmed,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,cora",0,100,0.887934572195508,0.7768061589837972,0.7803626758774826,3,30,19687,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_pubmed_s0/checkpoints/step_100.pt
pubmed,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,cora",0,2500,0.8501565122976907,0.698771880274838,0.6938588916543912,3,30,19687,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_pubmed_s0/checkpoints/step_2500.pt
pubmed,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,cora",0,300,0.7935090110595592,0.6012742621193822,0.6117234723421547,3,30,19687,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_pubmed_s0/checkpoints/step_300.pt
pubmed,"covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference,cora",0,900,0.808715682009566,0.6229263136127886,0.6222888200335247,3,30,19687,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_pubmed_s0/checkpoints/step_900.pt
twibot20,"covid_political,ukr_rus_suspended,election2020,facebook_page_reference,cora,pubmed",0,100,0.4849796877921132,0.4908396962320798,0.4955954599356259,2,20,11806,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_twibot20_s0/checkpoints/step_100.pt
twibot20,"covid_political,ukr_rus_suspended,election2020,facebook_page_reference,cora,pubmed",0,2500,0.5563493108278589,0.5232764813777817,0.523293240725055,2,20,11806,/dataMeR1/phil/gfm/mixture-scaling/state/primary_s0/loo_twibot20_s0/checkpoints/step_2500.pt
