order,rung,added,source_count,sources,target,roc_auc,accuracy,f1
A,1,ukr_rus_twitter,1,ukr_rus_twitter,ukr_rus_twitter,0.599363695945083,0.08537222222222222,0.08535390646798051
A,1,ukr_rus_twitter,1,ukr_rus_twitter,covid19_twitter,0.7132308007183908,0.16644444444444445,0.1663918806397643
A,1,ukr_rus_twitter,1,ukr_rus_twitter,midterm,0.7096629620849295,0.1275888888888889,0.1275525020904672
A,1,ukr_rus_twitter,1,ukr_rus_twitter,covid_political,0.7545137868454662,0.17009444444444444,0.17009242695259633
A,1,ukr_rus_twitter,1,ukr_rus_twitter,election2020,0.6830909540229884,0.14666666666666667,0.14666496463246895
A,1,ukr_rus_twitter,1,ukr_rus_twitter,ukr_rus_suspended,0.6771790436781608,0.14833333333333334,0.148302483626867
A,1,ukr_rus_twitter,1,ukr_rus_twitter,twibot20,0.7427265016123883,0.2581777777777778,0.258187502951404
A,1,ukr_rus_twitter,1,ukr_rus_twitter,cp_hk_twitter,0.6241267262931035,0.09221666666666667,0.09214531729194722
A,1,ukr_rus_twitter,1,ukr_rus_twitter,facebook_page_reference,0.8857940402298851,0.5254833333333333,0.5255192164649225
A,2,covid19_twitter,2,"ukr_rus_twitter,covid19_twitter",ukr_rus_twitter,0.5976491703384418,0.08601666666666667,0.08600429341094773
A,2,covid19_twitter,2,"ukr_rus_twitter,covid19_twitter",covid19_twitter,0.7103266533365261,0.16752777777777778,0.16748000746324246
A,2,covid19_twitter,2,"ukr_rus_twitter,covid19_twitter",midterm,0.7093388358876117,0.12894444444444444,0.12891293483086697
A,2,covid19_twitter,2,"ukr_rus_twitter,covid19_twitter",covid_political,0.7538110572318009,0.17105,0.17105499791978065
A,2,covid19_twitter,2,"ukr_rus_twitter,covid19_twitter",election2020,0.6811376551724136,0.1458,0.1457780933779807
A,2,covid19_twitter,2,"ukr_rus_twitter,covid19_twitter",ukr_rus_suspended,0.6772116620689652,0.1532,0.15319141532453012
A,2,covid19_twitter,2,"ukr_rus_twitter,covid19_twitter",twibot20,0.7405691895274583,0.25855555555555554,0.25856036838862606
A,2,covid19_twitter,2,"ukr_rus_twitter,covid19_twitter",cp_hk_twitter,0.6202354771551725,0.09213333333333333,0.09207318687223455
A,2,covid19_twitter,2,"ukr_rus_twitter,covid19_twitter",facebook_page_reference,0.8885859880747126,0.534,0.5340160740237203
A,3,midterm,3,"ukr_rus_twitter,covid19_twitter,midterm",ukr_rus_twitter,0.5961710378033207,0.08587777777777778,0.0858671024474441
A,3,midterm,3,"ukr_rus_twitter,covid19_twitter,midterm",covid19_twitter,0.7066679524744572,0.16537222222222223,0.1653305107225031
A,3,midterm,3,"ukr_rus_twitter,covid19_twitter,midterm",midterm,0.7085767799808429,0.12791111111111111,0.1278742983411833
A,3,midterm,3,"ukr_rus_twitter,covid19_twitter,midterm",covid_political,0.7520900455938695,0.16928333333333334,0.16928285275832164
A,3,midterm,3,"ukr_rus_twitter,covid19_twitter,midterm",election2020,0.6775607379310346,0.14366666666666666,0.14367345921783709
A,3,midterm,3,"ukr_rus_twitter,covid19_twitter,midterm",ukr_rus_suspended,0.6768692528735633,0.15286666666666668,0.15284772444677924
A,3,midterm,3,"ukr_rus_twitter,covid19_twitter,midterm",twibot20,0.7357993693805873,0.2550277777777778,0.25503019803515053
A,3,midterm,3,"ukr_rus_twitter,covid19_twitter,midterm",cp_hk_twitter,0.6146658666666666,0.09231666666666667,0.0922707356769835
A,3,midterm,3,"ukr_rus_twitter,covid19_twitter,midterm",facebook_page_reference,0.8875125682471264,0.5363666666666667,0.5363934644026384
A,4,covid_political,4,"ukr_rus_twitter,covid19_twitter,midterm,covid_political",ukr_rus_twitter,0.5946692384418901,0.08525,0.08523598448980149
A,4,covid_political,4,"ukr_rus_twitter,covid19_twitter,midterm,covid_political",covid19_twitter,0.7043054728607918,0.16461666666666666,0.16457518451976608
A,4,covid_political,4,"ukr_rus_twitter,covid19_twitter,midterm,covid_political",midterm,0.7074412559706257,0.12758333333333333,0.12755661506881785
A,4,covid_political,4,"ukr_rus_twitter,covid19_twitter,midterm,covid_political",covid_political,0.750424067624521,0.16791666666666666,0.16791505436790802
A,4,covid_political,4,"ukr_rus_twitter,covid19_twitter,midterm,covid_political",election2020,0.6747588068965518,0.1418,0.1417877323560688
A,4,covid_political,4,"ukr_rus_twitter,covid19_twitter,midterm,covid_political",ukr_rus_suspended,0.6752677310344829,0.15506666666666666,0.15507034902637393
A,4,covid_political,4,"ukr_rus_twitter,covid19_twitter,midterm,covid_political",twibot20,0.7322427158684547,0.2499888888888889,0.24998965543946153
A,4,covid_political,4,"ukr_rus_twitter,covid19_twitter,midterm,covid_political",cp_hk_twitter,0.6108851541666667,0.09266666666666666,0.09261789734935018
A,4,covid_political,4,"ukr_rus_twitter,covid19_twitter,midterm,covid_political",facebook_page_reference,0.8844004987068964,0.53845,0.5384699938610251
A,5,election2020,5,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020",ukr_rus_twitter,0.5962474329182632,0.08581111111111112,0.08580178436926807
A,5,election2020,5,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020",covid19_twitter,0.7070700725893998,0.16645555555555555,0.16640267133903147
A,5,election2020,5,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020",midterm,0.7086556269157086,0.12863333333333332,0.1286084591870155
A,5,election2020,5,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020",covid_political,0.7517815870530012,0.1695111111111111,0.1695097862119575
A,5,election2020,5,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020",election2020,0.6772390459770115,0.143,0.14300596058959406
A,5,election2020,5,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020",ukr_rus_suspended,0.6760185701149424,0.1532,0.15321522516088348
A,5,election2020,5,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020",twibot20,0.7377958299489145,0.25475,0.25475274893640726
A,5,election2020,5,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020",cp_hk_twitter,0.6175508676724139,0.09278333333333333,0.09273489157445937
A,5,election2020,5,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020",facebook_page_reference,0.887857541954023,0.5369333333333334,0.5369575893140796
A,6,ukr_rus_suspended,6,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended",ukr_rus_twitter,0.5962505833333331,0.08727777777777777,0.08726936262926789
