target,method,n,best_model_from_discovery,uses_validation_query_labels,uses_any_query_labels_for_selection,accuracy,auc,nll,accuracy_gain_over_fixed_best,episode_bootstrap_gain_ci_low,episode_bootstrap_gain_ci_high,fraction_not_best,selection_counts
covid_political,fixed_best,3072,ss_ukr_rus,False,True,0.8955078125,0.9572471336082176,0.30224295767091525,0.0,0.0,0.0,0.0,"{""ss_ukr_rus"": 3072}"
covid_political,u1_agreement,3072,ss_ukr_rus,False,True,0.9140625,0.954315185546875,0.2955834967361372,0.0185546875,0.013020833333333334,0.0244140625,0.043294270833333336,"{""ss_covid"": 92, ""ss_covid_political"": 1, ""ss_election2020"": 39, ""ss_twibot20"": 1, ""ss_ukr_rus"": 2939}"
covid_political,raw_agreement,3072,ss_ukr_rus,False,True,0.751953125,0.9238722059461806,0.41561060616591256,-0.1435546875,-0.16569010416666666,-0.12174479166666667,0.23079427083333334,"{""ss_covid"": 111, ""ss_covid_political"": 97, ""ss_cp_hk"": 87, ""ss_election2020"": 75, ""ss_facebook_page_reference"": 39, ""ss_midterm"": 136, ""ss_twibot20"": 117, ""ss_ukr_rus"": 2363, ""ss_ukr_rus_suspended"": 47}"
covid_political,learned_stage_consensus,3072,ss_ukr_rus,False,True,0.8942057291666666,0.9558438901548032,0.29847679783449294,-0.0013020833333333703,-0.007161458333333333,0.004557291666666667,0.12923177083333334,"{""ss_covid"": 237, ""ss_covid_political"": 1, ""ss_election2020"": 154, ""ss_twibot20"": 5, ""ss_ukr_rus"": 2675}"
covid_political,support_loo,3072,ss_ukr_rus,False,False,0.8896484375,0.9417131212022569,0.30697975402750083,-0.005859375,-0.019856770833333332,0.007486979166666667,0.6953125,"{""ss_covid"": 312, ""ss_covid_political"": 48, ""ss_election2020"": 1608, ""ss_midterm"": 72, ""ss_twibot20"": 96, ""ss_ukr_rus"": 936}"
covid_political,support_loo_u1_agreement,3072,ss_ukr_rus,False,False,0.9163411458333334,0.9432593451605903,0.29122295638390533,0.02083333333333337,0.010091145833333334,0.031575520833333336,0.6901041666666666,"{""ss_covid"": 319, ""ss_covid_political"": 48, ""ss_cp_hk"": 2, ""ss_election2020"": 1575, ""ss_midterm"": 66, ""ss_twibot20"": 109, ""ss_ukr_rus"": 952, ""ss_ukr_rus_suspended"": 1}"
covid_political,oracle_expert,3072,ss_ukr_rus,True,True,0.9879557291666666,0.9885598641854745,0.1895237405572587,0.09244791666666663,0.08235677083333333,0.1025390625,0.09244791666666667,"{""ss_covid"": 114, ""ss_covid_political"": 27, ""ss_cp_hk"": 18, ""ss_election2020"": 63, ""ss_facebook_page_reference"": 14, ""ss_midterm"": 8, ""ss_twibot20"": 18, ""ss_ukr_rus"": 2788, ""ss_ukr_rus_suspended"": 22}"
election2020,fixed_best,256,ss_twibot20,False,True,0.97265625,0.9837646484375,0.10344857883792352,0.0,0.0,0.0,0.0,"{""ss_twibot20"": 256}"
election2020,u1_agreement,256,ss_twibot20,False,True,0.9765625,0.98382568359375,0.10206567588998039,0.00390625,0.0,0.01171875,0.00390625,"{""ss_covid"": 1, ""ss_twibot20"": 255}"
election2020,raw_agreement,256,ss_twibot20,False,True,0.94921875,0.982421875,0.13963125616163474,-0.0234375,-0.046875,-0.00390625,0.03125,"{""ss_covid"": 1, ""ss_cp_hk"": 2, ""ss_election2020"": 1, ""ss_facebook_page_reference"": 3, ""ss_twibot20"": 248, ""ss_ukr_rus_suspended"": 1}"
election2020,learned_stage_consensus,256,ss_twibot20,False,True,0.9765625,0.98388671875,0.10198097959151048,0.00390625,0.0,0.01171875,0.01953125,"{""ss_covid"": 5, ""ss_twibot20"": 251}"
election2020,support_loo,256,ss_twibot20,False,False,0.9765625,0.985595703125,0.10507577897598004,0.00390625,0.0,0.01171875,1.0,"{""ss_covid"": 244, ""ss_cp_hk"": 2, ""ss_election2020"": 2, ""ss_midterm"": 6, ""ss_ukr_rus"": 2}"
election2020,support_loo_u1_agreement,256,ss_twibot20,False,False,0.9765625,0.985595703125,0.10507577897598004,0.00390625,0.0,0.01171875,1.0,"{""ss_covid"": 244, ""ss_cp_hk"": 2, ""ss_election2020"": 2, ""ss_midterm"": 6, ""ss_ukr_rus"": 2}"
election2020,oracle_expert,256,ss_twibot20,True,True,0.9921875,0.99127197265625,0.059792125408641796,0.01953125,0.00390625,0.0390625,0.01953125,"{""ss_covid"": 1, ""ss_covid_political"": 1, ""ss_cp_hk"": 2, ""ss_facebook_page_reference"": 1, ""ss_twibot20"": 251}"
facebook_page_reference,fixed_best,1024,ss_twibot20,False,True,0.6806640625,0.7541389465332031,0.5785315935338353,0.0,0.0,0.0,0.0,"{""ss_twibot20"": 1024}"
facebook_page_reference,u1_agreement,1024,ss_twibot20,False,True,0.71484375,0.7781829833984375,0.5596233865035698,0.0341796875,0.0185546875,0.05078125,0.1259765625,"{""ss_covid"": 20, ""ss_covid_political"": 1, ""ss_midterm"": 6, ""ss_twibot20"": 895, ""ss_ukr_rus"": 102}"
facebook_page_reference,raw_agreement,1024,ss_twibot20,False,True,0.833984375,0.8673019409179688,0.4835036843513221,0.1533203125,0.12109375,0.1865234375,0.2900390625,"{""ss_covid"": 47, ""ss_covid_political"": 19, ""ss_cp_hk"": 4, ""ss_election2020"": 6, ""ss_facebook_page_reference"": 19, ""ss_midterm"": 66, ""ss_twibot20"": 727, ""ss_ukr_rus"": 136}"
facebook_page_reference,learned_stage_consensus,1024,ss_twibot20,False,True,0.72265625,0.77313232421875,0.564741425211783,0.0419921875,0.025390625,0.0595703125,0.1416015625,"{""ss_covid"": 22, ""ss_covid_political"": 1, ""ss_facebook_page_reference"": 1, ""ss_midterm"": 7, ""ss_twibot20"": 879, ""ss_ukr_rus"": 114}"
facebook_page_reference,support_loo,1024,ss_twibot20,False,False,0.6728515625,0.7499351501464844,0.582176561318001,-0.0078125,-0.0439453125,0.0283203125,0.8125,"{""ss_covid"": 96, ""ss_covid_political"": 104, ""ss_cp_hk"": 56, ""ss_election2020"": 120, ""ss_facebook_page_reference"": 80, ""ss_midterm"": 176, ""ss_twibot20"": 192, ""ss_ukr_rus"": 152, ""ss_ukr_rus_suspended"": 48}"
facebook_page_reference,support_loo_u1_agreement,1024,ss_twibot20,False,False,0.7255859375,0.7817192077636719,0.559493739253299,0.044921875,0.0146484375,0.07421875,0.802734375,"{""ss_covid"": 106, ""ss_covid_political"": 99, ""ss_cp_hk"": 72, ""ss_election2020"": 99, ""ss_facebook_page_reference"": 77, ""ss_midterm"": 176, ""ss_twibot20"": 202, ""ss_ukr_rus"": 153, ""ss_ukr_rus_suspended"": 40}"
facebook_page_reference,oracle_expert,1024,ss_twibot20,True,True,0.9951171875,0.99517822265625,0.3785892728967709,0.314453125,0.2822265625,0.34765625,0.314453125,"{""ss_covid"": 48, ""ss_covid_political"": 18, ""ss_cp_hk"": 3, ""ss_election2020"": 9, ""ss_facebook_page_reference"": 32, ""ss_midterm"": 65, ""ss_twibot20"": 702, ""ss_ukr_rus"": 146, ""ss_ukr_rus_suspended"": 1}"
twibot20,fixed_best,3072,ss_ukr_rus,False,True,0.5856119791666666,0.6151582929823134,0.675757616539601,0.0,0.0,0.0,0.0,"{""ss_ukr_rus"": 3072}"
twibot20,u1_agreement,3072,ss_ukr_rus,False,True,0.6324869791666666,0.6430295308430989,0.6653619899017179,0.046875,0.034830729166666664,0.059244791666666664,0.18717447916666666,"{""ss_covid"": 9, ""ss_covid_political"": 2, ""ss_cp_hk"": 3, ""ss_election2020"": 419, ""ss_midterm"": 4, ""ss_twibot20"": 114, ""ss_ukr_rus"": 2497, ""ss_ukr_rus_suspended"": 24}"
twibot20,raw_agreement,3072,ss_ukr_rus,False,True,0.5403645833333334,0.584397210015191,0.6847886891215377,-0.04524739583333326,-0.06575520833333333,-0.0244140625,0.3968098958333333,"{""ss_covid"": 67, ""ss_covid_political"": 54, ""ss_cp_hk"": 61, ""ss_election2020"": 574, ""ss_facebook_page_reference"": 31, ""ss_midterm"": 70, ""ss_twibot20"": 213, ""ss_ukr_rus"": 1853, ""ss_ukr_rus_suspended"": 149}"
twibot20,learned_stage_consensus,3072,ss_ukr_rus,False,True,0.6178385416666666,0.6315722995334201,0.6704012186458058,0.0322265625,0.020833333333333332,0.043619791666666664,0.18424479166666666,"{""ss_covid"": 8, ""ss_covid_political"": 1, ""ss_cp_hk"": 3, ""ss_election2020"": 377, ""ss_midterm"": 3, ""ss_twibot20"": 136, ""ss_ukr_rus"": 2506, ""ss_ukr_rus_suspended"": 38}"
twibot20,support_loo,3072,ss_ukr_rus,False,False,0.5670572916666666,0.5940753089057076,0.6809044465047535,-0.0185546875,-0.038411458333333336,0.0003255208333333333,0.8515625,"{""ss_covid"": 264, ""ss_covid_political"": 216, ""ss_cp_hk"": 552, ""ss_election2020"": 456, ""ss_facebook_page_reference"": 264, ""ss_midterm"": 168, ""ss_twibot20"": 336, ""ss_ukr_rus"": 456, ""ss_ukr_rus_suspended"": 360}"
twibot20,support_loo_u1_agreement,3072,ss_ukr_rus,False,False,0.6223958333333334,0.6309617360432943,0.6713811188669571,0.03678385416666674,0.019205729166666668,0.054361979166666664,0.8395182291666666,"{""ss_covid"": 320, ""ss_covid_political"": 187, ""ss_cp_hk"": 555, ""ss_election2020"": 406, ""ss_facebook_page_reference"": 199, ""ss_midterm"": 156, ""ss_twibot20"": 342, ""ss_ukr_rus"": 493, ""ss_ukr_rus_suspended"": 414}"
twibot20,oracle_expert,3072,ss_ukr_rus,True,True,0.9713541666666666,0.9599465264214411,0.5541429599492188,0.3857421875,0.3671875,0.404296875,0.3857421875,"{""ss_covid"": 40, ""ss_covid_political"": 51, ""ss_cp_hk"": 47, ""ss_election2020"": 687, ""ss_facebook_page_reference"": 22, ""ss_midterm"": 32, ""ss_twibot20"": 169, ""ss_ukr_rus"": 1887, ""ss_ukr_rus_suspended"": 137}"
ukr_rus_suspended,fixed_best,256,ss_covid_political,False,True,0.53125,0.5057373046875,0.6935562633479723,0.0,0.0,0.0,0.0,"{""ss_covid_political"": 256}"
ukr_rus_suspended,u1_agreement,256,ss_covid_political,False,True,0.5625,0.54791259765625,0.6916512448205483,0.03125,-0.015625,0.078125,0.32421875,"{""ss_covid"": 3, ""ss_covid_political"": 173, ""ss_midterm"": 53, ""ss_twibot20"": 22, ""ss_ukr_rus"": 5}"
ukr_rus_suspended,raw_agreement,256,ss_covid_political,False,True,0.5546875,0.538330078125,0.6924270753372647,0.0234375,-0.05859375,0.10546875,0.3828125,"{""ss_covid"": 4, ""ss_covid_political"": 158, ""ss_election2020"": 7, ""ss_facebook_page_reference"": 1, ""ss_midterm"": 54, ""ss_twibot20"": 18, ""ss_ukr_rus"": 12, ""ss_ukr_rus_suspended"": 2}"
ukr_rus_suspended,learned_stage_consensus,256,ss_covid_political,False,True,0.55078125,0.5145263671875,0.693669513872609,0.01953125,-0.03125,0.0703125,0.36328125,"{""ss_covid_political"": 163, ""ss_election2020"": 2, ""ss_facebook_page_reference"": 1, ""ss_midterm"": 65, ""ss_twibot20"": 20, ""ss_ukr_rus"": 5}"
ukr_rus_suspended,support_loo,256,ss_covid_political,False,False,0.48046875,0.47674560546875,0.6947143814449974,-0.05078125,-0.1328125,0.02734375,0.8984375,"{""ss_covid"": 44, ""ss_covid_political"": 26, ""ss_cp_hk"": 28, ""ss_election2020"": 28, ""ss_facebook_page_reference"": 28, ""ss_midterm"": 22, ""ss_twibot20"": 26, ""ss_ukr_rus"": 18, ""ss_ukr_rus_suspended"": 36}"
ukr_rus_suspended,support_loo_u1_agreement,256,ss_covid_political,False,False,0.51171875,0.51318359375,0.6936027089507859,-0.01953125,-0.09765625,0.05859375,0.9140625,"{""ss_covid"": 49, ""ss_covid_political"": 22, ""ss_cp_hk"": 28, ""ss_election2020"": 21, ""ss_facebook_page_reference"": 23, ""ss_midterm"": 20, ""ss_twibot20"": 34, ""ss_ukr_rus"": 19, ""ss_ukr_rus_suspended"": 40}"
ukr_rus_suspended,oracle_expert,256,ss_covid_political,True,True,0.98046875,0.9793701171875,0.6807017798134839,0.44921875,0.38671875,0.51171875,0.44921875,"{""ss_covid"": 6, ""ss_covid_political"": 141, ""ss_cp_hk"": 3, ""ss_election2020"": 10, ""ss_facebook_page_reference"": 2, ""ss_midterm"": 49, ""ss_twibot20"": 25, ""ss_ukr_rus"": 14, ""ss_ukr_rus_suspended"": 6}"
