target,method,n,best_model_from_discovery,uses_validation_query_labels,uses_any_query_labels_for_selection,accuracy,auc,nll,accuracy_gain_over_fixed_best,episode_bootstrap_gain_ci_low,episode_bootstrap_gain_ci_high,fraction_not_best,selection_counts
covid_political,fixed_best,3072,ss_election2020,False,True,0.8919270833333334,0.9409784387659145,0.3025580574492327,0.0,0.0,0.0,0.0,"{""ss_election2020"": 3072}"
covid_political,u1_agreement,3072,ss_election2020,False,True,0.9173177083333334,0.940773292824074,0.28458126744245044,0.025390625,0.019205729166666668,0.031901041666666664,0.053059895833333336,"{""ss_covid"": 18, ""ss_election2020"": 2909, ""ss_twibot20"": 3, ""ss_ukr_rus"": 142}"
covid_political,raw_agreement,3072,ss_election2020,False,True,0.7496744791666666,0.9128971806278934,0.412428098362972,-0.14225260416666674,-0.16666666666666666,-0.11881510416666667,0.2555338541666667,"{""ss_covid"": 63, ""ss_covid_political"": 64, ""ss_cp_hk"": 143, ""ss_election2020"": 2287, ""ss_facebook_page_reference"": 20, ""ss_midterm"": 87, ""ss_twibot20"": 160, ""ss_ukr_rus"": 222, ""ss_ukr_rus_suspended"": 26}"
covid_political,learned_stage_consensus,3072,ss_election2020,False,True,0.9065755208333334,0.9396627920645254,0.29532040867236486,0.0146484375,0.006827799479166674,0.0224609375,0.0595703125,"{""ss_covid"": 14, ""ss_covid_political"": 6, ""ss_election2020"": 2889, ""ss_twibot20"": 14, ""ss_ukr_rus"": 149}"
covid_political,support_loo,3072,ss_election2020,False,False,0.8883463541666666,0.9410326922381367,0.3183228164490925,-0.0035807291666667407,-0.0146484375,0.007161458333333333,0.4765625,"{""ss_covid"": 192, ""ss_covid_political"": 192, ""ss_election2020"": 1608, ""ss_midterm"": 120, ""ss_twibot20"": 72, ""ss_ukr_rus"": 864, ""ss_ukr_rus_suspended"": 24}"
covid_political,support_loo_u1_agreement,3072,ss_election2020,False,False,0.9189453125,0.9413457799840858,0.29822448744936886,0.02701822916666663,0.017252604166666668,0.036783854166666664,0.4947916666666667,"{""ss_covid"": 227, ""ss_covid_political"": 191, ""ss_cp_hk"": 2, ""ss_election2020"": 1552, ""ss_midterm"": 126, ""ss_twibot20"": 81, ""ss_ukr_rus"": 875, ""ss_ukr_rus_suspended"": 18}"
covid_political,oracle_expert,3072,ss_election2020,True,True,0.9879557291666666,0.9884733977141202,0.17627894990653256,0.09602864583333326,0.08561197916666667,0.1064453125,0.09602864583333333,"{""ss_covid"": 25, ""ss_covid_political"": 25, ""ss_cp_hk"": 22, ""ss_election2020"": 2777, ""ss_facebook_page_reference"": 6, ""ss_midterm"": 10, ""ss_twibot20"": 16, ""ss_ukr_rus"": 171, ""ss_ukr_rus_suspended"": 20}"
election2020,fixed_best,256,ss_twibot20,False,True,0.9765625,0.98193359375,0.11140750066086759,0.0,0.0,0.0,0.0,"{""ss_twibot20"": 256}"
election2020,u1_agreement,256,ss_twibot20,False,True,0.9765625,0.98162841796875,0.11221309128760214,0.0,-0.01171875,0.01171875,0.0078125,"{""ss_covid"": 2, ""ss_twibot20"": 254}"
election2020,raw_agreement,256,ss_twibot20,False,True,0.9453125,0.97723388671875,0.15602055879667548,-0.03125,-0.05859375,-0.0078125,0.0390625,"{""ss_covid"": 2, ""ss_cp_hk"": 2, ""ss_election2020"": 1, ""ss_facebook_page_reference"": 3, ""ss_twibot20"": 246, ""ss_ukr_rus_suspended"": 2}"
election2020,learned_stage_consensus,256,ss_twibot20,False,True,0.9765625,0.98199462890625,0.11122144566263387,0.0,0.0,0.0,0.0078125,"{""ss_covid"": 2, ""ss_twibot20"": 254}"
election2020,support_loo,256,ss_twibot20,False,False,0.9765625,0.9893798828125,0.09554524896849928,0.0,-0.01171875,0.01171875,1.0,"{""ss_covid"": 240, ""ss_covid_political"": 6, ""ss_election2020"": 2, ""ss_midterm"": 6, ""ss_ukr_rus_suspended"": 2}"
