target,method,n,best_model_from_discovery,uses_validation_query_labels,uses_any_query_labels_for_selection,accuracy,auc,nll,accuracy_gain_over_fixed_best,episode_bootstrap_gain_ci_low,episode_bootstrap_gain_ci_high,fraction_not_best,target_support_competence,target_supported_at_0_55,selection_counts
covid_political,fixed_best,3072,ss_ukr_rus,False,True,0.912109375,0.9584644458912037,0.27626280610526205,0.0,0.0,0.0,0.0,0.913281261920929,True,"{""ss_ukr_rus"": 3072}"
covid_political,u1_agreement,3072,ss_ukr_rus,False,True,0.9313151041666666,0.9554115577980323,0.26658406538865315,0.01920572916666663,0.013346354166666666,0.025065104166666668,0.041341145833333336,0.913281261920929,True,"{""ss_covid"": 24, ""ss_cp_hk"": 1, ""ss_election2020"": 97, ""ss_midterm"": 3, ""ss_twibot20"": 2, ""ss_ukr_rus"": 2945}"
covid_political,raw_agreement,3072,ss_ukr_rus,False,True,0.7548828125,0.9253274423104745,0.40871550248309224,-0.1572265625,-0.1796875,-0.1357421875,0.22819010416666666,0.913281261920929,True,"{""ss_covid"": 109, ""ss_covid_political"": 65, ""ss_cp_hk"": 93, ""ss_election2020"": 117, ""ss_facebook_page_reference"": 23, ""ss_midterm"": 65, ""ss_twibot20"": 174, ""ss_ukr_rus"": 2371, ""ss_ukr_rus_suspended"": 55}"
covid_political,learned_stage_consensus,3072,ss_ukr_rus,False,True,0.9169921875,0.9564276801215278,0.27491022720020647,0.0048828125,0.0006510416666666666,0.009440104166666666,0.12272135416666667,0.913281261920929,True,"{""ss_covid"": 23, ""ss_covid_political"": 1, ""ss_election2020"": 346, ""ss_twibot20"": 7, ""ss_ukr_rus"": 2695}"
covid_political,support_loo,3072,ss_ukr_rus,False,False,0.88671875,0.949853402596933,0.31812195295369666,-0.025390625,-0.0380859375,-0.014322916666666666,0.3828125,0.913281261920929,True,"{""ss_covid"": 144, ""ss_covid_political"": 96, ""ss_cp_hk"": 48, ""ss_election2020"": 624, ""ss_midterm"": 144, ""ss_twibot20"": 120, ""ss_ukr_rus"": 1896}"
covid_political,support_loo_u1_agreement,3072,ss_ukr_rus,False,False,0.9264322916666666,0.9484620270905672,0.2934824078033434,0.01432291666666663,0.0068359375,0.021809895833333332,0.3834635416666667,0.913281261920929,True,"{""ss_covid"": 167, ""ss_covid_political"": 90, ""ss_cp_hk"": 44, ""ss_election2020"": 617, ""ss_midterm"": 139, ""ss_twibot20"": 121, ""ss_ukr_rus"": 1894}"
covid_political,oracle_expert,3072,ss_ukr_rus,True,True,0.9817708333333334,0.9827666106047453,0.19041801379053633,0.06966145833333337,0.060872395833333336,0.07845052083333333,0.06966145833333333,0.913281261920929,True,"{""ss_covid"": 28, ""ss_covid_political"": 16, ""ss_cp_hk"": 12, ""ss_election2020"": 106, ""ss_facebook_page_reference"": 7, ""ss_midterm"": 10, ""ss_twibot20"": 18, ""ss_ukr_rus"": 2858, ""ss_ukr_rus_suspended"": 17}"
election2020,fixed_best,256,ss_ukr_rus,False,True,0.9765625,0.9853515625,0.09989844864577702,0.0,0.0,0.0,0.0,0.9800781011581421,True,"{""ss_ukr_rus"": 256}"
election2020,u1_agreement,256,ss_ukr_rus,False,True,0.9765625,0.9853515625,0.09989844864577702,0.0,0.0,0.0,0.0,0.9800781011581421,True,"{""ss_ukr_rus"": 256}"
election2020,raw_agreement,256,ss_ukr_rus,False,True,0.9609375,0.984619140625,0.12077648733801624,-0.015625,-0.03125,-0.00390625,0.015625,0.9800781011581421,True,"{""ss_facebook_page_reference"": 2, ""ss_ukr_rus"": 252, ""ss_ukr_rus_suspended"": 2}"
