arm,training_seed,model_id,sources,checkpoint_step,checkpoint,checkpoint_sha256,training_revision,dataset,episodes,queries,episode_fingerprint,roc_auc,accuracy,f1,task,cross_graph_prob,emb_dim
mix_p000,0,paper_mech_mix_p000_step2000_s0,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",2000,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s0_20260908_081721_000/checkpoint/state_dict_2000.ckpt,c8d27afedc0fc3727e4a3a52d32d62a52d8971d2a58b7dc12a4742a8674890bc,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,covid_political,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.9181315104166664,0.8948567708333334,0.8057726999398677,classification,0.0,256
mix_p000,0,paper_mech_mix_p000_step2000_s0,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",2000,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s0_20260908_081721_000/checkpoint/state_dict_2000.ckpt,c8d27afedc0fc3727e4a3a52d32d62a52d8971d2a58b7dc12a4742a8674890bc,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,election2020,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.9876708984375,0.984375,0.9846153846153848,classification,0.0,256
mix_p000,0,paper_mech_mix_p000_step2000_s0,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",2000,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s0_20260908_081721_000/checkpoint/state_dict_2000.ckpt,c8d27afedc0fc3727e4a3a52d32d62a52d8971d2a58b7dc12a4742a8674890bc,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,facebook_page_reference,128,1024,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe,0.7488822937011719,0.6962890625,0.6995169082125604,classification,0.0,256
mix_p000,0,paper_mech_mix_p000_step2000_s0,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",2000,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s0_20260908_081721_000/checkpoint/state_dict_2000.ckpt,c8d27afedc0fc3727e4a3a52d32d62a52d8971d2a58b7dc12a4742a8674890bc,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,twibot20,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6484784020317925,0.6005859375,0.6128116124960555,classification,0.0,256
mix_p000,0,paper_mech_mix_p000_step2000_s0,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",2000,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s0_20260908_081721_000/checkpoint/state_dict_2000.ckpt,c8d27afedc0fc3727e4a3a52d32d62a52d8971d2a58b7dc12a4742a8674890bc,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,ukr_rus_suspended,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.4908447265625,0.48828125,0.4653061224489795,classification,0.0,256
mix_p000,1,paper_mech_mix_p000_step2000_s1,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",2000,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s1_20260908_081721_006/checkpoint/state_dict_2000.ckpt,84a712538a210025ea4f3575815020b6766ca4c446c92c2f9ffb836af71abfb9,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,covid_political,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.9386478000217012,0.8974609375,0.815681685196021,classification,0.0,256
mix_p000,1,paper_mech_mix_p000_step2000_s1,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",2000,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s1_20260908_081721_006/checkpoint/state_dict_2000.ckpt,84a712538a210025ea4f3575815020b6766ca4c446c92c2f9ffb836af71abfb9,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,election2020,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.987884521484375,0.98046875,0.9808429118773946,classification,0.0,256
mix_p000,1,paper_mech_mix_p000_step2000_s1,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",2000,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s1_20260908_081721_006/checkpoint/state_dict_2000.ckpt,84a712538a210025ea4f3575815020b6766ca4c446c92c2f9ffb836af71abfb9,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,facebook_page_reference,128,1024,df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe,0.7397174835205078,0.6708984375,0.6626626626626627,classification,0.0,256
mix_p000,1,paper_mech_mix_p000_step2000_s1,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",2000,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s1_20260908_081721_006/checkpoint/state_dict_2000.ckpt,84a712538a210025ea4f3575815020b6766ca4c446c92c2f9ffb836af71abfb9,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,twibot20,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6103263431125217,0.5791015625,0.4676821737340469,classification,0.0,256
mix_p000,1,paper_mech_mix_p000_step2000_s1,"ukr_rus,covid,midterm,covid_political,election2020,ukr_rus_suspended,cp_hk,facebook_page_reference",2000,/dataMeR1/phil/gfm/prodigy-paper-mechanism/log/paper_mechanism_sweeps/20260908/training/state/paper_mech_mix_p000_s1_20260908_081721_006/checkpoint/state_dict_2000.ckpt,84a712538a210025ea4f3575815020b6766ca4c446c92c2f9ffb836af71abfb9,c86a41a7fd8b15a3c2afaafd05afd1d057c2cd45,ukr_rus_suspended,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.54339599609375,0.51953125,0.5527272727272727,classification,0.0,256
