pretraining_objective	evaluation_task	composition_type	run_id	mixture_size	sources	source_a	source_b	excluded_source	target	auc	comparison_singleton_auc	delta_vs_comparison_singleton	checkpoint_step	best_validation_loss	training_elapsed_seconds
lp	classification	matrix_singleton	ss_ukr_rus_twitter	1	ukr_rus_twitter				covid_political	0.8851307200191771			3250	0.6592538058757782	440.07852862001164
lp	classification	matrix_singleton	ss_ukr_rus_twitter	1	ukr_rus_twitter				election2020	0.9513324158465819			3250	0.6592538058757782	440.07852862001164
lp	classification	matrix_singleton	ss_ukr_rus_twitter	1	ukr_rus_twitter				facebook_page_reference	0.8032932688842916			3250	0.6592538058757782	440.07852862001164
lp	classification	matrix_singleton	ss_ukr_rus_twitter	1	ukr_rus_twitter				twibot20	0.5691843097357765			3250	0.6592538058757782	440.07852862001164
lp	classification	matrix_singleton	ss_ukr_rus_twitter	1	ukr_rus_twitter				ukr_rus_suspended	0.544663940967283			3250	0.6592538058757782	440.07852862001164
lp	classification	matrix_singleton	ss_covid19_twitter	1	covid19_twitter				covid_political	0.9030774803683631			3500	0.6562536418437958	329.96712432597997
lp	classification	matrix_singleton	ss_covid19_twitter	1	covid19_twitter				election2020	0.9736161472309725			3500	0.6562536418437958	329.96712432597997
lp	classification	matrix_singleton	ss_covid19_twitter	1	covid19_twitter				facebook_page_reference	0.8159432391388971			3500	0.6562536418437958	329.96712432597997
lp	classification	matrix_singleton	ss_covid19_twitter	1	covid19_twitter				twibot20	0.575793087169747			3500	0.6562536418437958	329.96712432597997
lp	classification	matrix_singleton	ss_covid19_twitter	1	covid19_twitter				ukr_rus_suspended	0.532385876167032			3500	0.6562536418437958	329.96712432597997
lp	classification	matrix_singleton	ss_midterm	1	midterm				covid_political	0.9244817243438279			2500	0.6719820410013199	201.34883754100883
lp	classification	matrix_singleton	ss_midterm	1	midterm				election2020	0.9810867650556823			2500	0.6719820410013199	201.34883754100883
lp	classification	matrix_singleton	ss_midterm	1	midterm				facebook_page_reference	0.8146844121555451			2500	0.6719820410013199	201.34883754100883
lp	classification	matrix_singleton	ss_midterm	1	midterm				twibot20	0.5949925953299472			2500	0.6719820410013199	201.34883754100883
lp	classification	matrix_singleton	ss_midterm	1	midterm				ukr_rus_suspended	0.5268917546727102			2500	0.6719820410013199	201.34883754100883
lp	classification	matrix_singleton	ss_covid_political	1	covid_political				covid_political	0.9045243657503319			3000	0.6511850833892823	119.66204165900126
lp	classification	matrix_singleton	ss_covid_political	1	covid_political				election2020	0.9802512966826327			3000	0.6511850833892823	119.66204165900126
lp	classification	matrix_singleton	ss_covid_political	1	covid_political				facebook_page_reference	0.7844526624881774			3000	0.6511850833892823	119.66204165900126
lp	classification	matrix_singleton	ss_covid_political	1	covid_political				twibot20	0.663361340134341			3000	0.6511850833892823	119.66204165900126
lp	classification	matrix_singleton	ss_covid_political	1	covid_political				ukr_rus_suspended	0.5232361092638722			3000	0.6511850833892823	119.66204165900126
lp	classification	matrix_singleton	ss_election2020	1	election2020				covid_political	0.8410629559167588			3250	0.6642004936933518	539.1897928229882
lp	classification	matrix_singleton	ss_election2020	1	election2020				election2020	0.966387982402749			3250	0.6642004936933518	539.1897928229882
