pair,selected_step,both_retain_selected,exact_steps,tol_005_steps,tol_01_steps
covid19_twitter + covid_political,28000,False,[],[],[]
covid19_twitter + cp_hk_twitter,58000,False,[],[],[]
covid19_twitter + facebook_page_reference,16000,False,[],[],[]
covid19_twitter + midterm,34000,False,[],[],[]
covid19_twitter + twibot20,46000,False,[],[],[]
covid19_twitter + ukr_rus_suspended,24000,False,[],[],[]
covid_political + cp_hk_twitter,14000,False,[],"[14000, 18000, 20000]","[12000, 14000, 16000, 18000, 20000]"
covid_political + facebook_page_reference,8000,True,"[8000, 12000]","[8000, 12000]","[6000, 8000, 12000, 14000]"
covid_political + twibot20,30000,False,[],[],[]
covid_political + ukr_rus_suspended,12000,True,"[8000, 10000, 12000, 14000, 16000, 18000]","[8000, 10000, 12000, 14000, 16000, 18000]","[8000, 10000, 12000, 14000, 16000, 18000]"
cp_hk_twitter + facebook_page_reference,12000,False,[],[],[12000]
midterm + covid_political,18000,False,[],[],"[18000, 22000]"
midterm + cp_hk_twitter,30000,True,"[18000, 20000, 22000, 26000, 28000, 30000, 32000, 36000]","[14000, 16000, 18000, 20000, 22000, 24000, 26000, 28000, 30000, 32000, 34000, 36000]","[12000, 14000, 16000, 18000, 20000, 22000, 24000, 26000, 28000, 30000, 32000, 34000, 36000]"
midterm + facebook_page_reference,14000,False,[],[],[]
midterm + twibot20,42000,False,[],[],[]
midterm + ukr_rus_suspended,18000,False,[],[],[]
twibot20 + cp_hk_twitter,52000,False,[],[],[]
twibot20 + facebook_page_reference,12000,False,[],[],[]
ukr_rus_suspended + cp_hk_twitter,18000,False,[],"[12000, 14000, 18000, 22000, 24000]","[12000, 14000, 16000, 18000, 20000, 22000, 24000]"
ukr_rus_suspended + facebook_page_reference,14000,True,"[10000, 12000, 14000, 16000]","[10000, 12000, 14000, 16000]","[10000, 12000, 14000, 16000]"
ukr_rus_suspended + twibot20,28000,False,[],[],[]
ukr_rus_twitter + covid19_twitter,48000,False,[],[],"[50000, 52000, 54000]"
ukr_rus_twitter + covid_political,34000,False,[],[],[]
ukr_rus_twitter + cp_hk_twitter,36000,False,[],[],[]
ukr_rus_twitter + facebook_page_reference,16000,False,[],[],[]
ukr_rus_twitter + midterm,44000,False,[],[],[]
ukr_rus_twitter + twibot20,38000,False,[],[],[]
ukr_rus_twitter + ukr_rus_suspended,32000,False,[],[],[]
