selection,stream,occurrence_index,label,pred_b,pred_c,correct_b,correct_c,outcome,loss_b_raw,loss_c_raw,loss_b_cal,loss_c_cal,c_minus_b_loss,prob1_b_cal,prob1_c_cal,global_node_id,context_nodes,incoming,outgoing,center_context_cosine,raw_center_prediction,raw_context_prediction,episode_id
b_only_largest_advantage,original,514,0,0,1,True,False,b_only,0.0010135397664718425,16.35676677951202,0.1973797449520075,0.8541206743622011,0.6567409294101936,0.17912115048207056,0.5743426820389108,56852,58,11,3,0.81272304,0,0,21
b_only_largest_advantage,original,2663,1,1,0,True,False,b_only,0.00287372914309764,15.607621836377342,0.24273279697097616,0.8462629242318023,0.6035301272608261,0.7844811014956037,0.42901520223712464,84911,4,1,0,0.7198848,0,1,110
b_only_largest_advantage,original,1700,1,1,0,True,False,b_only,0.04142882422938056,27.631021115928547,0.4036962534111704,1.0026404693182052,0.5989442159070348,0.6678469466955228,0.3669093481083454,133733,20,0,2,0.7131787,0,0,70
b_only_largest_advantage,original,560,0,0,1,True,False,b_only,0.014922051119897863,23.27034807213031,0.33345401733778407,0.9287960331941735,0.5953420158563894,0.2835551580762888,0.6049709739832818,57390,20,0,2,0.6426213,0,0,23
b_only_largest_advantage,original,872,0,0,1,True,False,b_only,0.005607939806761084,17.87484957513701,0.27651831570851415,0.8701848207050958,0.5936665049965817,0.24158027199021168,0.5811258745181161,117936,99,0,18,0.80592793,0,1,36
b_only_largest_advantage,original,709,1,1,0,True,False,b_only,0.001999471596488045,12.91054877463592,0.2259845831339077,0.8183559477052423,0.5923713645713347,0.7977304000736283,0.44115634272771026,92142,59,0,6,0.6107123,1,1,29
b_only_largest_advantage,original,1478,1,1,0,True,False,b_only,0.032648118043990065,26.77810621261831,0.3862180993520456,0.9681553564084331,0.5819372570563874,0.6796222843353887,0.37978295655188,28648,96,0,16,0.6114973,1,0,61
b_only_largest_advantage,original,873,0,0,1,True,False,b_only,0.006646317130943262,16.673707065733954,0.2857390817228569,0.8574589089379024,0.5717198272150456,0.24854134033109615,0.5757612569298936,143195,88,13,3,0.86588347,0,1,36
b_only_largest_advantage,original,2264,0,0,1,True,False,b_only,0.01489175503990236,20.8029188970025,0.3333258301308867,0.9017000279209065,0.5683741977900199,0.28346331312655854,0.5941209328530845,146781,95,0,16,0.77664465,1,0,94
b_only_largest_advantage,original,2256,0,0,1,True,False,b_only,0.06128692584053672,27.631021115928547,0.4340335363533286,1.0022586156130107,0.5682250792596821,0.35210947276463006,0.6329505194442645,75887,99,0,18,0.8138987,1,0,94
b_only_largest_advantage,original,871,0,0,1,True,False,b_only,0.06064291215151271,27.631021115928547,0.43318752764015866,0.9906922032328975,0.5575046755927389,0.35156111981042626,0.6286804265656701,77001,94,1,13,0.714107,0,1,36
b_only_largest_advantage,original,512,0,0,1,True,False,b_only,0.0008625630369611903,5.748339912999889,0.191089476414145,0.7471449156765483,0.5560554392624033,0.17394132792348016,0.5262828738362619,98217,73,12,2,0.0,0,0,21
c_only_largest_advantage,original,511,0,1,0,False,True,c_only,5.71910644764878,1.8698068934790257e-08,1.511415006971734,0.5434019560708963,-0.9680130509008378,0.7794023901459168,0.4192308632400471,102449,0,0,0,0.0,0,0,21
c_only_largest_advantage,original,2571,0,1,0,False,True,c_only,6.214720264687099,0.4552761246564439,1.5979505471844484,0.6881175581993251,-0.9098329889851233,0.7976892803196642,0.49747885392816626,25125,81,0,10,0.7362756,1,0,107
c_only_largest_advantage,original,1724,1,0,1,False,True,c_only,5.547801252203021,0.000668063100679197,1.481950433935458,0.6284343340917858,-0.853516099843672,0.2271941288188292,0.5334263149472702,157248,68,18,0,0.74799037,1,0,71
c_only_largest_advantage,original,1254,0,1,0,False,True,c_only,5.042630515976478,4.186844427321673e-06,1.396427943173758,0.5861551879268913,-0.8102727552468668,0.7525206025770357,0.44353732857897865,106493,98,2,15,0.82188886,0,0,52
c_only_largest_advantage,original,1079,1,0,1,False,True,c_only,4.980698866545322,0.0054360532607443555,1.3860851787016808,0.6465543866462,-0.7395307920554808,0.25005230107459436,0.523847647152372,77360,83,16,1,0.76402384,0,0,44
c_only_largest_advantage,original,1758,0,1,0,False,True,c_only,4.323721565211665,2.3155070018558727e-08,1.2782791803694606,0.5450454709548942,-0.7332337094145664,0.7214838356010932,0.420184582020296,128160,28,1,4,0.76580566,0,0,73
c_only_largest_advantage,original,701,0,1,0,False,True,c_only,4.495993709952304,2.645032482378092e-06,1.306212042775671,0.5824329152664678,-0.7237791275092031,0.7291559385642178,0.4414621630205954,85045,82,2,13,0.7330206,1,0,29
c_only_largest_advantage,original,1690,0,1,0,False,True,c_only,4.476277947508213,2.151463381918968e-06,1.3030032631739563,0.5807646654826301,-0.7222385976913263,0.7282854638307392,0.4405296047409953,59630,91,0,12,0.0,0,0,70
c_only_largest_advantage,original,1395,0,1,0,False,True,c_only,5.0011008580717515,0.1254910990131915,1.3894889319690535,0.6748898983973064,-0.7145990335717471,0.7507973684092386,0.49078751736831755,156920,0,0,0,0.0,0,0,58
c_only_largest_advantage,original,1291,1,0,1,False,True,c_only,4.71168227002564,0.0015229501924227161,1.341519942373991,0.6355082960846214,-0.7060116462893695,0.2614479805612031,0.5296661926305244,86138,62,6,11,0.8255416,1,0,53
c_only_largest_advantage,original,1180,0,1,0,False,True,c_only,4.994569675693794,0.4733947119005064,1.3883989386345916,0.6885621643995012,-0.6998367742350904,0.7505255911110605,0.49770222828493776,64206,0,0,0,0.0,0,0,49
c_only_largest_advantage,original,2019,0,1,0,False,True,c_only,4.10689488212357,4.4513354284353777e-07,1.2434543628898544,0.5681545779281937,-0.6752997849616608,0.7116136955942588,0.43342996460927874,72376,92,13,5,0.82958883,0,0,84
both_wrong_b_more_confident,original,1219,1,0,0,False,False,both_wrong,7.728504258987955,4.150298928436723,1.873317238351516,0.7317269139815656,-1.1415903243699503,0.1536132439501967,0.4810774928860903,126312,60,15,0,0.746243,1,1,50
both_wrong_b_more_confident,original,1214,1,0,0,False,False,both_wrong,7.679028390721563,6.343468877089702,1.864073706591884,0.7529103180500933,-1.1111633885417906,0.1550397556955709,0.4709938143578782,160159,3,2,0,0.0,0,1,50
both_wrong_b_more_confident,original,323,0,1,1,False,False,both_wrong,6.7176493567095985,2.334931144077747,1.6876566136522984,0.713807095637112,-0.9738495180151864,0.8150475684368641,0.5102239805954922,147632,44,3,5,0.68838865,1,1,13
both_wrong_b_more_confident,original,1397,0,1,1,False,False,both_wrong,6.908629592263819,7.239176793737007,1.7222006010769093,0.761632801682503,-0.9605677993944063,0.8213274719874053,0.5330965564491129,76523,0,0,0,0.0,1,0,58
both_wrong_b_more_confident,original,126,0,1,1,False,False,both_wrong,6.853604800269213,11.814641718626255,1.7122214635780684,0.807188098199526,-0.9050333653785424,0.819535548206636,0.5538892762300605,132456,90,0,10,0.74522114,1,1,5
both_wrong_b_more_confident,original,1270,1,0,0,False,False,both_wrong,6.212164300471551,6.420890464331681,1.5974994402581542,0.7536620026613962,-0.843837437596758,0.20240200403520137,0.47063990858503213,111855,76,2,10,0.76479316,1,0,52
both_wrong_b_more_confident,original,1802,0,1,1,False,False,both_wrong,5.7519447376442265,11.99886889456264,1.5170896720783018,0.8090585154675105,-0.7080311566107913,0.7806506625913842,0.5547229095671022,45812,83,12,5,0.73872644,1,1,75
