stream,occurrence_index,label,pred_b,pred_c,correct_b,correct_c,outcome,loss_b_raw,loss_c_raw,loss_b_cal,loss_c_cal,c_minus_b_loss,prob1_b_cal,prob1_c_cal,global_node_id,context_nodes,incoming,outgoing,center_context_cosine,raw_center_prediction,raw_context_prediction,episode_id
original,0,0,0,1,True,False,b_only,0.5461454564890086,11.272549948792323,0.6585033803154892,0.801700668330964,0.14319728801547482,0.4823745564982356,0.5514345459994763,42075,83,0,9,0.7701818,0,1,0
original,1,0,1,1,False,False,both_wrong,0.99738492652228,10.325192346633173,0.7542165900807777,0.7921693089248566,0.037952718844078914,0.5296210300240051,0.5471386671799285,129124,95,0,17,0.71533376,0,1,0
original,2,0,1,1,False,False,both_wrong,3.359171347143422,5.431365548691446,1.1260123172318515,0.7440821914145651,-0.38193012581728636,0.6756760176351584,0.5248297848310326,82745,62,7,0,0.7773486,1,1,0
original,3,0,1,1,False,False,both_wrong,0.874623005666769,5.918362665047111,0.7308215352616337,0.7487898734788964,0.017968338217262625,0.5184867525575273,0.5270614779580205,74149,75,8,1,0.6875099,0,1,0
original,4,0,0,1,True,False,b_only,0.5321188293117991,10.462177264690899,0.6549249337737343,0.7935429153885705,0.13861798161483618,0.4805189433940012,0.5477602934012183,84508,98,0,17,0.76748323,1,1,0
original,5,0,0,1,True,False,b_only,0.6777892973978328,10.775588435419428,0.6897351904332817,0.7966914694666808,0.1069562790333991,0.4982910912045795,0.5491819553095562,79981,98,0,17,0.7529918,1,1,0
original,6,0,1,1,False,False,both_wrong,0.9568773806811117,17.667348882934988,0.7466446979663065,0.8679779541500126,0.12133325618370605,0.5260458528640083,0.5802004544560945,115382,9,0,1,0.65854657,0,1,0
original,7,0,0,0,True,True,both_correct,0.6524636370136814,0.4277087719629278,0.6840148544344156,0.6874138611187339,0.003399006684318362,0.4954129234777539,0.49712510681393207,72568,84,0,9,0.0,0,1,0
original,8,0,1,1,False,False,both_wrong,1.0455896178725126,13.277782721787778,0.7630617477016454,0.8221204706723981,0.059058722970752764,0.5337632598110968,0.5605012784225498,140556,90,2,11,0.72258395,0,1,0
original,9,0,1,1,False,False,both_wrong,1.5077482327578466,12.34351784668958,0.8415953302669235,0.8125652051170762,-0.029030125149847263,0.5689776483589006,0.5562816235709049,54278,89,2,8,0.7805872,1,1,0
original,10,0,1,1,False,False,both_wrong,1.1991164794448301,14.6352948779352,0.7902303919976181,0.8361330152959546,0.0459026232983365,0.5462597548824147,0.5666168266086753,85044,66,2,6,0.6825825,1,1,0
original,11,0,0,1,True,False,b_only,0.21256154911068692,6.7895696521727,0.5467071470271232,0.7572472069194748,0.21054005989235158,0.42114724738615367,0.5310444105011264,99014,83,0,10,0.7989938,0,1,0
original,12,1,1,0,True,False,b_only,0.4395120104865466,2.2161163261338124,0.6296809369339249,0.7125702235927982,0.0828892866588733,0.5327617584920292,0.4903821844679164,44917,93,18,0,0.8279926,0,1,0
original,13,1,0,1,False,True,c_only,1.6549092786187152,0.00018872203956415515,0.8650868075661543,0.6176961841633619,-0.2473906234027924,0.42101500375319445,0.5391851911943507,80053,96,1,14,0.8209495,0,0,0
original,14,1,1,0,True,False,b_only,0.014580822067884424,6.518467680841866,0.33199751105480596,0.7546099594513572,0.42261244839655127,0.7174891086432896,0.4701939736849644,125118,83,12,1,0.7859787,1,1,0
original,15,1,1,0,True,False,b_only,0.06930369196124753,4.38472654519642,0.44399696365961816,0.7339891770696142,0.28999221340999604,0.6414673685376376,0.47999039914109987,127811,86,18,0,0.8003799,1,1,0
original,16,1,1,1,True,True,both_correct,0.4092298344631812,0.027442024782672044,0.6206894849722319,0.6608817072553661,0.04019222228313424,0.5375736608262508,0.5163958237631991,121590,79,6,4,0.7829225,1,1,0
