run_id,n_sources,sources,target,target_in_pretraining,seed,checkpoint_step,stop_reason,converged,final_step,roc_auc
ladder_r1,1,ukr_rus_twitter,ukr_rus_twitter,True,0,68000,validation_plateau,True,69000,0.6728441326530612
ladder_r1,1,ukr_rus_twitter,covid19_twitter,False,0,68000,validation_plateau,True,69000,0.7411132653061224
ladder_r1,1,ukr_rus_twitter,midterm,False,0,68000,validation_plateau,True,69000,0.6434344387755102
ladder_r1,1,ukr_rus_twitter,covid_political,False,0,68000,validation_plateau,True,69000,0.598825
ladder_r1,1,ukr_rus_twitter,election2020,False,0,68000,validation_plateau,True,69000,0.6185280612244898
ladder_r1,1,ukr_rus_twitter,ukr_rus_suspended,False,0,68000,validation_plateau,True,69000,0.5545257653061224
ladder_r1,1,ukr_rus_twitter,twibot20,False,0,68000,validation_plateau,True,69000,0.6525785714285715
ladder_r1,1,ukr_rus_twitter,cp_hk_twitter,False,0,68000,validation_plateau,True,69000,0.5570076530612245
ladder_r1,1,ukr_rus_twitter,facebook_page_reference,False,0,68000,validation_plateau,True,69000,0.7965489795918367
ladder_r2,2,"ukr_rus_twitter,covid19_twitter",ukr_rus_twitter,True,0,156000,validation_plateau,True,171000,0.6723237244897959
ladder_r2,2,"ukr_rus_twitter,covid19_twitter",covid19_twitter,True,0,156000,validation_plateau,True,171000,0.7757903061224489
ladder_r2,2,"ukr_rus_twitter,covid19_twitter",midterm,False,0,156000,validation_plateau,True,171000,0.6469716836734694
ladder_r2,2,"ukr_rus_twitter,covid19_twitter",covid_political,False,0,156000,validation_plateau,True,171000,0.5955762755102041
ladder_r2,2,"ukr_rus_twitter,covid19_twitter",election2020,False,0,156000,validation_plateau,True,171000,0.6033607142857143
ladder_r2,2,"ukr_rus_twitter,covid19_twitter",ukr_rus_suspended,False,0,156000,validation_plateau,True,171000,0.5481696428571429
ladder_r2,2,"ukr_rus_twitter,covid19_twitter",twibot20,False,0,156000,validation_plateau,True,171000,0.6574107142857143
