predictor,target,spearman_auc
raw_center_skew_l1,facebook_page_reference,-0.7142857142857144
raw_center_skew_wasserstein,covid19_twitter,-0.5714285714285715
raw_center_skew_wasserstein,ukr_rus_twitter,-0.5714285714285715
raw_center_skew_wasserstein,midterm,-0.14285714285714288
raw_center_skew_wasserstein,cp_hk_twitter,-0.6904761904761906
raw_center_skew_wasserstein,twibot20,-0.04761904761904763
raw_center_skew_wasserstein,election2020,0.04761904761904763
raw_center_skew_wasserstein,covid_political,-0.261904761904762
raw_center_skew_wasserstein,ukr_rus_suspended,0.8333333333333335
raw_center_skew_wasserstein,facebook_page_reference,-0.523809523809524
neighbor_mean_centroid_cosdist,covid19_twitter,-0.8095238095238096
neighbor_mean_centroid_cosdist,ukr_rus_twitter,-0.7857142857142858
neighbor_mean_centroid_cosdist,midterm,-0.2142857142857143
neighbor_mean_centroid_cosdist,cp_hk_twitter,-0.8571428571428572
neighbor_mean_centroid_cosdist,twibot20,-0.8333333333333335
neighbor_mean_centroid_cosdist,election2020,-0.07142857142857144
neighbor_mean_centroid_cosdist,covid_political,0.8571428571428572
neighbor_mean_centroid_cosdist,ukr_rus_suspended,0.3333333333333334
neighbor_mean_centroid_cosdist,facebook_page_reference,-0.7142857142857144
neighbor_mean_mmd2,covid19_twitter,-0.9047619047619048
neighbor_mean_mmd2,ukr_rus_twitter,-0.9523809523809524
neighbor_mean_mmd2,midterm,-0.9047619047619048
neighbor_mean_mmd2,cp_hk_twitter,-0.6904761904761906
neighbor_mean_mmd2,twibot20,-0.9523809523809524
neighbor_mean_mmd2,election2020,-0.7142857142857144
neighbor_mean_mmd2,covid_political,0.3333333333333334
neighbor_mean_mmd2,ukr_rus_suspended,-0.07142857142857144
neighbor_mean_mmd2,facebook_page_reference,-0.8333333333333335
neighbor_mean_proxy_a_distance,covid19_twitter,-0.9285714285714287
neighbor_mean_proxy_a_distance,ukr_rus_twitter,-0.9285714285714287
neighbor_mean_proxy_a_distance,midterm,-0.8095238095238096
neighbor_mean_proxy_a_distance,cp_hk_twitter,-0.523809523809524
neighbor_mean_proxy_a_distance,twibot20,-0.9761904761904763
neighbor_mean_proxy_a_distance,election2020,-0.2380952380952381
neighbor_mean_proxy_a_distance,covid_political,0.6666666666666669
neighbor_mean_proxy_a_distance,ukr_rus_suspended,-0.14285714285714288
neighbor_mean_proxy_a_distance,facebook_page_reference,-0.9761904761904763
neighbor_mean_projected_frechet,covid19_twitter,-0.9761904761904763
neighbor_mean_projected_frechet,ukr_rus_twitter,-0.9761904761904763
neighbor_mean_projected_frechet,midterm,-0.9761904761904763
neighbor_mean_projected_frechet,cp_hk_twitter,-0.9047619047619048
neighbor_mean_projected_frechet,twibot20,-0.8571428571428572
neighbor_mean_projected_frechet,election2020,-0.7380952380952381
neighbor_mean_projected_frechet,covid_political,-0.3333333333333334
neighbor_mean_projected_frechet,ukr_rus_suspended,-0.19047619047619052
neighbor_mean_projected_frechet,facebook_page_reference,-0.9523809523809524
neighbor_mean_skew_l1,covid19_twitter,-0.7380952380952381
neighbor_mean_skew_l1,ukr_rus_twitter,-0.7380952380952381
neighbor_mean_skew_l1,midterm,-0.8571428571428572
neighbor_mean_skew_l1,cp_hk_twitter,-0.8333333333333335
neighbor_mean_skew_l1,twibot20,-0.8095238095238096
neighbor_mean_skew_l1,election2020,-0.5476190476190477
neighbor_mean_skew_l1,covid_political,0.11904761904761905
neighbor_mean_skew_l1,ukr_rus_suspended,0.04761904761904763
neighbor_mean_skew_l1,facebook_page_reference,-0.6428571428571429
neighbor_mean_skew_wasserstein,covid19_twitter,-0.5714285714285715
neighbor_mean_skew_wasserstein,ukr_rus_twitter,-0.5714285714285715
neighbor_mean_skew_wasserstein,midterm,-0.5714285714285715
neighbor_mean_skew_wasserstein,cp_hk_twitter,0.19047619047619052
neighbor_mean_skew_wasserstein,twibot20,0.19047619047619052
neighbor_mean_skew_wasserstein,election2020,-0.28571428571428575
neighbor_mean_skew_wasserstein,covid_political,0.5714285714285715
neighbor_mean_skew_wasserstein,ukr_rus_suspended,0.6666666666666669
neighbor_mean_skew_wasserstein,facebook_page_reference,-0.6190476190476191
center_plus_neighbor_mean_centroid_cosdist,covid19_twitter,-0.8333333333333335
center_plus_neighbor_mean_centroid_cosdist,ukr_rus_twitter,-0.8095238095238096
center_plus_neighbor_mean_centroid_cosdist,midterm,-0.14285714285714288
center_plus_neighbor_mean_centroid_cosdist,cp_hk_twitter,-0.9523809523809524
center_plus_neighbor_mean_centroid_cosdist,twibot20,-0.8333333333333335
center_plus_neighbor_mean_centroid_cosdist,election2020,0.28571428571428575
center_plus_neighbor_mean_centroid_cosdist,covid_political,0.4285714285714286
center_plus_neighbor_mean_centroid_cosdist,ukr_rus_suspended,0.6428571428571429
center_plus_neighbor_mean_centroid_cosdist,facebook_page_reference,-0.6428571428571429
center_plus_neighbor_mean_mmd2,covid19_twitter,-0.9285714285714287
center_plus_neighbor_mean_mmd2,ukr_rus_twitter,-0.9285714285714287
center_plus_neighbor_mean_mmd2,midterm,-0.7380952380952381
center_plus_neighbor_mean_mmd2,cp_hk_twitter,-0.8571428571428572
center_plus_neighbor_mean_mmd2,twibot20,-0.7857142857142858
center_plus_neighbor_mean_mmd2,election2020,-0.523809523809524
center_plus_neighbor_mean_mmd2,covid_political,-0.261904761904762
center_plus_neighbor_mean_mmd2,ukr_rus_suspended,-0.14285714285714288
center_plus_neighbor_mean_mmd2,facebook_page_reference,-0.9761904761904763
center_plus_neighbor_mean_proxy_a_distance,covid19_twitter,-0.9047619047619048
center_plus_neighbor_mean_proxy_a_distance,ukr_rus_twitter,-0.9285714285714287
center_plus_neighbor_mean_proxy_a_distance,midterm,-0.8095238095238096
center_plus_neighbor_mean_proxy_a_distance,cp_hk_twitter,-0.7857142857142858
center_plus_neighbor_mean_proxy_a_distance,twibot20,-0.9047619047619048
center_plus_neighbor_mean_proxy_a_distance,election2020,-0.19047619047619052
center_plus_neighbor_mean_proxy_a_distance,covid_political,-0.07185757571479554
center_plus_neighbor_mean_proxy_a_distance,ukr_rus_suspended,-0.6904761904761906
center_plus_neighbor_mean_proxy_a_distance,facebook_page_reference,-0.9761904761904763
center_plus_neighbor_mean_projected_frechet,covid19_twitter,-0.880952380952381
center_plus_neighbor_mean_projected_frechet,ukr_rus_twitter,-0.880952380952381
center_plus_neighbor_mean_projected_frechet,midterm,-0.6428571428571429
center_plus_neighbor_mean_projected_frechet,cp_hk_twitter,-0.8571428571428572
center_plus_neighbor_mean_projected_frechet,twibot20,-0.8333333333333335
center_plus_neighbor_mean_projected_frechet,election2020,-0.5952380952380953
center_plus_neighbor_mean_projected_frechet,covid_political,-0.6190476190476191
center_plus_neighbor_mean_projected_frechet,ukr_rus_suspended,-0.19047619047619052
center_plus_neighbor_mean_projected_frechet,facebook_page_reference,-0.8333333333333335
center_plus_neighbor_mean_skew_l1,covid19_twitter,-0.7619047619047621
center_plus_neighbor_mean_skew_l1,ukr_rus_twitter,-0.7380952380952381
center_plus_neighbor_mean_skew_l1,midterm,-0.8571428571428572
center_plus_neighbor_mean_skew_l1,cp_hk_twitter,-0.8333333333333335
center_plus_neighbor_mean_skew_l1,twibot20,-0.8095238095238096
center_plus_neighbor_mean_skew_l1,election2020,-0.4761904761904762
center_plus_neighbor_mean_skew_l1,covid_political,-0.4761904761904762
center_plus_neighbor_mean_skew_l1,ukr_rus_suspended,0.04761904761904763
center_plus_neighbor_mean_skew_l1,facebook_page_reference,-0.7619047619047621
center_plus_neighbor_mean_skew_wasserstein,covid19_twitter,-0.7380952380952381
center_plus_neighbor_mean_skew_wasserstein,ukr_rus_twitter,-0.7619047619047621
center_plus_neighbor_mean_skew_wasserstein,midterm,-0.6904761904761906
center_plus_neighbor_mean_skew_wasserstein,cp_hk_twitter,0.0
center_plus_neighbor_mean_skew_wasserstein,twibot20,0.07142857142857144
center_plus_neighbor_mean_skew_wasserstein,election2020,-0.19047619047619052
center_plus_neighbor_mean_skew_wasserstein,covid_political,0.38095238095238104
center_plus_neighbor_mean_skew_wasserstein,ukr_rus_suspended,0.7619047619047621
center_plus_neighbor_mean_skew_wasserstein,facebook_page_reference,-0.6190476190476191
local_structure_centroid_cosdist,covid19_twitter,-0.19047619047619052
local_structure_centroid_cosdist,ukr_rus_twitter,-0.4047619047619048
local_structure_centroid_cosdist,midterm,-0.3333333333333334
local_structure_centroid_cosdist,cp_hk_twitter,-0.07142857142857144
local_structure_centroid_cosdist,twibot20,0.19047619047619052
local_structure_centroid_cosdist,election2020,-0.04761904761904763
local_structure_centroid_cosdist,covid_political,-0.3333333333333334
local_structure_centroid_cosdist,ukr_rus_suspended,-0.523809523809524
local_structure_centroid_cosdist,facebook_page_reference,-0.6428571428571429
local_structure_mmd2,covid19_twitter,-0.38095238095238104
local_structure_mmd2,ukr_rus_twitter,-0.30952380952380953
local_structure_mmd2,midterm,-0.5714285714285715
local_structure_mmd2,cp_hk_twitter,-0.4285714285714286
local_structure_mmd2,twibot20,0.3571428571428572
local_structure_mmd2,election2020,-0.2380952380952381
local_structure_mmd2,covid_political,-0.07142857142857144
local_structure_mmd2,ukr_rus_suspended,0.023809523809523815
local_structure_mmd2,facebook_page_reference,-0.07142857142857144
local_structure_proxy_a_distance,covid19_twitter,-0.4285714285714286
local_structure_proxy_a_distance,ukr_rus_twitter,-0.4761904761904762
local_structure_proxy_a_distance,midterm,-0.5476190476190477
local_structure_proxy_a_distance,cp_hk_twitter,-0.4285714285714286
local_structure_proxy_a_distance,twibot20,-0.261904761904762
local_structure_proxy_a_distance,election2020,-0.4523809523809524
local_structure_proxy_a_distance,covid_political,-0.29940656547831473
local_structure_proxy_a_distance,ukr_rus_suspended,0.0
local_structure_proxy_a_distance,facebook_page_reference,-0.5476190476190477
local_structure_projected_frechet,covid19_twitter,-0.28571428571428575
local_structure_projected_frechet,ukr_rus_twitter,-0.4285714285714286
local_structure_projected_frechet,midterm,0.023809523809523815
local_structure_projected_frechet,cp_hk_twitter,0.11904761904761905
local_structure_projected_frechet,twibot20,-0.4047619047619048
local_structure_projected_frechet,election2020,-0.4047619047619048
local_structure_projected_frechet,covid_political,0.19047619047619052
local_structure_projected_frechet,ukr_rus_suspended,-0.38095238095238104
local_structure_projected_frechet,facebook_page_reference,0.19047619047619052
embedding_topic_js_distance,covid19_twitter,-0.8333333333333335
embedding_topic_js_distance,ukr_rus_twitter,-0.8333333333333335
embedding_topic_js_distance,midterm,-0.6190476190476191
embedding_topic_js_distance,cp_hk_twitter,-0.7619047619047621
embedding_topic_js_distance,twibot20,-0.7380952380952381
embedding_topic_js_distance,election2020,-0.2142857142857143
embedding_topic_js_distance,covid_political,-0.30952380952380953
embedding_topic_js_distance,ukr_rus_suspended,-0.6190476190476191
embedding_topic_js_distance,facebook_page_reference,-0.9761904761904763
user_jaccard,covid19_twitter,0.198206241793023
user_jaccard,ukr_rus_twitter,0.198206241793023
user_jaccard,midterm,0.2702812388086677
user_jaccard,cp_hk_twitter,
user_jaccard,twibot20,
user_jaccard,election2020,-0.01801874925391118
user_jaccard,covid_political,-0.23424374030084538
user_jaccard,ukr_rus_suspended,-0.43244998209386837
user_jaccard,facebook_page_reference,
user_source_containment,covid19_twitter,0.34235623582431246
user_source_containment,ukr_rus_twitter,0.34235623582431246
user_source_containment,midterm,0.37839373433213486
user_source_containment,cp_hk_twitter,
user_source_containment,twibot20,
user_source_containment,election2020,-0.0363696483726654
user_source_containment,covid_political,-0.2702812388086677
user_source_containment,ukr_rus_suspended,-0.43244998209386837
user_source_containment,facebook_page_reference,
user_target_containment,covid19_twitter,0.198206241793023
user_target_containment,ukr_rus_twitter,0.198206241793023
user_target_containment,midterm,0.2702812388086677
user_target_containment,cp_hk_twitter,
user_target_containment,twibot20,
user_target_containment,election2020,0.09009374626955591
user_target_containment,covid_political,-0.054056247761733546
user_target_containment,ukr_rus_suspended,-0.38188130791298674
user_target_containment,facebook_page_reference,
