n_hop,hop_sizes,node_limit,nm_walk_hops,checkpoint_step,order,rung,n_sources,test_graph,test_canonical,auc,entry_rung,rel_to_entry,in_training,added,sources,model_prefix,model_status,eval_run
2,"9,9",101,1,40000,A,1,1,ukr_rus_twitter,ukraine,0.9455077090836527,1,0,1,ukr_rus,ukr_rus,nm_ladder_h2m_ordA_r1,train,eval_nm_ladder_h2m_ordA_r1_to_ukr_rus_twitter_nm_3shot_30way_01_08_2026_23_02_57
2,"9,9",101,1,40000,A,1,1,covid19_twitter,covid,0.9711098078703703,2,-1,0,ukr_rus,ukr_rus,nm_ladder_h2m_ordA_r1,train,eval_nm_ladder_h2m_ordA_r1_to_covid19_twitter_nm_3shot_30way_01_08_2026_23_07_59
2,"9,9",101,1,40000,A,1,1,midterm,midterm,0.8699922557950192,3,-2,0,ukr_rus,ukr_rus,nm_ladder_h2m_ordA_r1,train,eval_nm_ladder_h2m_ordA_r1_to_midterm_nm_3shot_30way_01_08_2026_23_15_45
2,"9,9",101,1,40000,A,1,1,covid_political,covid-political,0.8448359347222225,4,-3,0,ukr_rus,ukr_rus,nm_ladder_h2m_ordA_r1,train,eval_nm_ladder_h2m_ordA_r1_to_covid_political_nm_3shot_30way_01_08_2026_23_19_00
2,"9,9",101,1,40000,A,1,1,election2020,election2020-political,0.8302339057471265,5,-4,0,ukr_rus,ukr_rus,nm_ladder_h2m_ordA_r1,train,eval_nm_ladder_h2m_ordA_r1_to_election2020_nm_3shot_30way_01_08_2026_23_22_05
2,"9,9",101,1,40000,A,1,1,ukr_rus_suspended,ukraine-suspended,0.8232057425287356,6,-5,0,ukr_rus,ukr_rus,nm_ladder_h2m_ordA_r1,train,eval_nm_ladder_h2m_ordA_r1_to_ukr_rus_suspended_nm_3shot_30way_01_08_2026_23_22_56
2,"9,9",101,1,40000,A,1,1,twibot20,twibot20,0.9099036612867178,7,-6,0,ukr_rus,ukr_rus,nm_ladder_h2m_ordA_r1,train,eval_nm_ladder_h2m_ordA_r1_to_twibot20_nm_3shot_30way_01_08_2026_23_23_41
2,"9,9",101,1,40000,A,1,1,cp_hk_twitter,hongkong,0.7063602985632186,8,-7,0,ukr_rus,ukr_rus,nm_ladder_h2m_ordA_r1,train,eval_nm_ladder_h2m_ordA_r1_to_cp_hk_twitter_nm_3shot_30way_01_08_2026_23_26_58
2,"9,9",101,1,40000,A,2,2,ukr_rus_twitter,ukraine,0.9431266049648788,1,1,1,covid,ukr_rus covid,nm_ladder_h2m_ordA_r2,train,eval_nm_ladder_h2m_ordA_r2_to_ukr_rus_twitter_nm_3shot_30way_01_08_2026_23_02_57
2,"9,9",101,1,40000,A,2,2,covid19_twitter,covid,0.980046657774585,2,0,1,covid,ukr_rus covid,nm_ladder_h2m_ordA_r2,train,eval_nm_ladder_h2m_ordA_r2_to_covid19_twitter_nm_3shot_30way_01_08_2026_23_08_01
2,"9,9",101,1,40000,A,2,2,midterm,midterm,0.8841330986270752,3,-1,0,covid,ukr_rus covid,nm_ladder_h2m_ordA_r2,train,eval_nm_ladder_h2m_ordA_r2_to_midterm_nm_3shot_30way_01_08_2026_23_15_45
2,"9,9",101,1,40000,A,2,2,covid_political,covid-political,0.8474316738186461,4,-2,0,covid,ukr_rus covid,nm_ladder_h2m_ordA_r2,train,eval_nm_ladder_h2m_ordA_r2_to_covid_political_nm_3shot_30way_01_08_2026_23_19_01
2,"9,9",101,1,40000,A,2,2,election2020,election2020-political,0.8268513448275864,5,-3,0,covid,ukr_rus covid,nm_ladder_h2m_ordA_r2,train,eval_nm_ladder_h2m_ordA_r2_to_election2020_nm_3shot_30way_01_08_2026_23_22_07
2,"9,9",101,1,40000,A,2,2,ukr_rus_suspended,ukraine-suspended,0.8000634321839081,6,-4,0,covid,ukr_rus covid,nm_ladder_h2m_ordA_r2,train,eval_nm_ladder_h2m_ordA_r2_to_ukr_rus_suspended_nm_3shot_30way_01_08_2026_23_23_07
2,"9,9",101,1,40000,A,2,2,twibot20,twibot20,0.9161999911398467,7,-5,0,covid,ukr_rus covid,nm_ladder_h2m_ordA_r2,train,eval_nm_ladder_h2m_ordA_r2_to_twibot20_nm_3shot_30way_01_08_2026_23_23_50
2,"9,9",101,1,40000,A,2,2,cp_hk_twitter,hongkong,0.7173846643678162,8,-6,0,covid,ukr_rus covid,nm_ladder_h2m_ordA_r2,train,eval_nm_ladder_h2m_ordA_r2_to_cp_hk_twitter_nm_3shot_30way_01_08_2026_23_27_10
2,"9,9",101,1,40000,A,3,3,ukr_rus_twitter,ukraine,0.9389399155172413,1,2,1,midterm,ukr_rus covid midterm,nm_ladder_h2m_ordA_r3,train,eval_nm_ladder_h2m_ordA_r3_to_ukr_rus_twitter_nm_3shot_30way_01_08_2026_23_02_57
2,"9,9",101,1,40000,A,3,3,covid19_twitter,covid,0.9784782560504471,2,1,1,midterm,ukr_rus covid midterm,nm_ladder_h2m_ordA_r3,train,eval_nm_ladder_h2m_ordA_r3_to_covid19_twitter_nm_3shot_30way_01_08_2026_23_08_05
2,"9,9",101,1,40000,A,3,3,midterm,midterm,0.9127096802362706,3,0,1,midterm,ukr_rus covid midterm,nm_ladder_h2m_ordA_r3,train,eval_nm_ladder_h2m_ordA_r3_to_midterm_nm_3shot_30way_01_08_2026_23_15_47
2,"9,9",101,1,40000,A,3,3,covid_political,covid-political,0.8504164077266924,4,-1,0,midterm,ukr_rus covid midterm,nm_ladder_h2m_ordA_r3,train,eval_nm_ladder_h2m_ordA_r3_to_covid_political_nm_3shot_30way_01_08_2026_23_19_01
2,"9,9",101,1,40000,A,3,3,election2020,election2020-political,0.8256378528735632,5,-2,0,midterm,ukr_rus covid midterm,nm_ladder_h2m_ordA_r3,train,eval_nm_ladder_h2m_ordA_r3_to_election2020_nm_3shot_30way_01_08_2026_23_22_07
2,"9,9",101,1,40000,A,3,3,ukr_rus_suspended,ukraine-suspended,0.7938895264367817,6,-3,0,midterm,ukr_rus covid midterm,nm_ladder_h2m_ordA_r3,train,eval_nm_ladder_h2m_ordA_r3_to_ukr_rus_suspended_nm_3shot_30way_01_08_2026_23_23_07
2,"9,9",101,1,40000,A,3,3,twibot20,twibot20,0.9171295515644957,7,-4,0,midterm,ukr_rus covid midterm,nm_ladder_h2m_ordA_r3,train,eval_nm_ladder_h2m_ordA_r3_to_twibot20_nm_3shot_30way_01_08_2026_23_23_52
2,"9,9",101,1,40000,A,3,3,cp_hk_twitter,hongkong,0.7122497915229887,8,-5,0,midterm,ukr_rus covid midterm,nm_ladder_h2m_ordA_r3,train,eval_nm_ladder_h2m_ordA_r3_to_cp_hk_twitter_nm_3shot_30way_01_08_2026_23_27_14
2,"9,9",101,1,40000,A,4,4,ukr_rus_twitter,ukraine,0.9360493834131545,1,3,1,covid_political,ukr_rus covid midterm covid_political,nm_ladder_h2m_ordA_r4,train,eval_nm_ladder_h2m_ordA_r4_to_ukr_rus_twitter_nm_3shot_30way_01_08_2026_23_02_57
