architecture,model_id,sources,seed,checkpoint_step,task,dataset,n_way,n_shot,n_query,episodes,queries,episode_fingerprint,roc_auc,accuracy,f1,best_included_specialist,residual,absolute_error,target_in_sources
prodigy,ordA_r2,"ukr_rus,covid",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.6410143816912616,0.5872395833333334,0.4477351916376306,0.6267875388816552,0.0142268428096064,0.0142268428096064,False
prodigy,ordA_r2,"ukr_rus,covid",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.52294921875,0.5078125,0.6358381502890174,0.54083251953125,-0.01788330078125,0.01788330078125,False
prodigy,ordA_r2,"ukr_rus,covid",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.51837158203125,0.515625,0.504,0.551513671875,-0.03314208984375,0.03314208984375,False
prodigy,ordA_r2,"ukr_rus,covid",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6369732750786675,0.57421875,0.6797257590597453,0.6929662492540148,-0.05599297417534732,0.05599297417534732,False
prodigy,ordA_r3,"ukr_rus,covid,midterm",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.6550162986472802,0.6383463541666666,0.4650938854116514,0.6267875388816552,0.028228759765625,0.028228759765625,False
prodigy,ordA_r3,"ukr_rus,covid,midterm",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.5455322265625,0.55859375,0.6195286195286195,0.54083251953125,0.00469970703125,0.00469970703125,False
prodigy,ordA_r3,"ukr_rus,covid,midterm",0,100,classification,ukr_rus_suspended,2,10,1,128,256,c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347,0.51116943359375,0.54296875,0.5224489795918368,0.551513671875,-0.04034423828125,0.04034423828125,False
prodigy,ordA_r3,"ukr_rus,covid,midterm",0,100,classification,twibot20,2,10,12,128,3072,c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d,0.6963975694444444,0.6569010416666666,0.7180310326377742,0.6929662492540148,0.0034313201904295765,0.0034313201904295765,False
prodigy,ordA_r4,"ukr_rus,covid,midterm,covid_political",0,100,classification,covid_political,2,10,12,128,3072,db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750,0.5695687753182871,0.7027994791666666,0.2053959965187119,0.8650509869610822,-0.2954822116427951,0.2954822116427951,True
prodigy,ordA_r4,"ukr_rus,covid,midterm,covid_political",0,100,classification,election2020,2,10,1,128,256,4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef,0.5338134765625,0.50390625,0.3681592039800995,0.98468017578125,-0.45086669921875,0.45086669921875,False
