model,order,rung,added,target,roc_auc,training_seeds,checkpoint_step,objective
PRODIGY,A,1,ukr_rus,covid_political,0.9401669914339795,3,2500,neighbor matching
PRODIGY,A,1,ukr_rus,election2020,0.9870198567708334,3,2500,neighbor matching
PRODIGY,A,1,ukr_rus,facebook_page_reference,0.7611382802327474,3,2500,neighbor matching
PRODIGY,A,1,ukr_rus,twibot20,0.6224274811921297,3,2500,neighbor matching
PRODIGY,A,1,ukr_rus,ukr_rus_suspended,0.50469970703125,3,2500,neighbor matching
PRODIGY,A,2,covid,covid_political,0.9365361531575521,3,2500,neighbor matching
PRODIGY,A,2,covid,election2020,0.98681640625,3,2500,neighbor matching
PRODIGY,A,2,covid,facebook_page_reference,0.7668743133544922,3,2500,neighbor matching
PRODIGY,A,2,covid,twibot20,0.6030635127314815,3,2500,neighbor matching
PRODIGY,A,2,covid,ukr_rus_suspended,0.4842325846354167,3,2500,neighbor matching
PRODIGY,A,3,midterm,covid_political,0.9268988150137442,3,2500,neighbor matching
PRODIGY,A,3,midterm,election2020,0.98431396484375,3,2500,neighbor matching
PRODIGY,A,3,midterm,facebook_page_reference,0.7487386067708334,3,2500,neighbor matching
PRODIGY,A,3,midterm,twibot20,0.5868612925211589,3,2500,neighbor matching
PRODIGY,A,3,midterm,ukr_rus_suspended,0.4713948567708333,3,2500,neighbor matching
PRODIGY,A,4,covid_political,covid_political,0.9250354531370565,3,2500,neighbor matching
PRODIGY,A,4,covid_political,election2020,0.982696533203125,3,2500,neighbor matching
PRODIGY,A,4,covid_political,facebook_page_reference,0.7348442077636719,3,2500,neighbor matching
PRODIGY,A,4,covid_political,twibot20,0.5917595757378472,3,2500,neighbor matching
PRODIGY,A,4,covid_political,ukr_rus_suspended,0.4905598958333333,3,2500,neighbor matching
PRODIGY,A,5,election2020,covid_political,0.9310098341953609,3,2500,neighbor matching
PRODIGY,A,5,election2020,election2020,0.9915771484375,3,2500,neighbor matching
PRODIGY,A,5,election2020,facebook_page_reference,0.7516619364420573,3,2500,neighbor matching
PRODIGY,A,5,election2020,twibot20,0.5957939006664135,3,2500,neighbor matching
PRODIGY,A,5,election2020,ukr_rus_suspended,0.4941202799479167,3,2500,neighbor matching
PRODIGY,A,6,ukr_rus_suspended,covid_political,0.9273994351610725,3,2500,neighbor matching
PRODIGY,A,6,ukr_rus_suspended,election2020,0.9900919596354166,3,2500,neighbor matching
PRODIGY,A,6,ukr_rus_suspended,facebook_page_reference,0.7578309377034506,3,2500,neighbor matching
PRODIGY,A,6,ukr_rus_suspended,twibot20,0.6003330371997975,3,2500,neighbor matching
PRODIGY,A,6,ukr_rus_suspended,ukr_rus_suspended,0.4846394856770833,3,2500,neighbor matching
PRODIGY,A,7,twibot20,covid_political,0.9263676772882908,3,2500,neighbor matching
PRODIGY,A,7,twibot20,election2020,0.9906412760416666,3,2500,neighbor matching
PRODIGY,A,7,twibot20,facebook_page_reference,0.7686983744303385,3,2500,neighbor matching
PRODIGY,A,7,twibot20,twibot20,0.6174528333875868,3,2500,neighbor matching
PRODIGY,A,7,twibot20,ukr_rus_suspended,0.5011189778645834,3,2500,neighbor matching
PRODIGY,A,8,cp_hk,covid_political,0.9253428894796487,3,2500,neighbor matching
PRODIGY,A,8,cp_hk,election2020,0.99078369140625,3,2500,neighbor matching
PRODIGY,A,8,cp_hk,facebook_page_reference,0.7378718058268229,3,2500,neighbor matching
PRODIGY,A,8,cp_hk,twibot20,0.6326974232991537,3,2500,neighbor matching
PRODIGY,A,8,cp_hk,ukr_rus_suspended,0.4745076497395833,3,2500,neighbor matching
PRODIGY,A,9,facebook_page_reference,covid_political,0.9268093344605998,3,2500,neighbor matching
PRODIGY,A,9,facebook_page_reference,election2020,0.9915771484375,3,2500,neighbor matching
PRODIGY,A,9,facebook_page_reference,facebook_page_reference,0.7801094055175781,3,2500,neighbor matching
PRODIGY,A,9,facebook_page_reference,twibot20,0.6229678259955512,3,2500,neighbor matching
PRODIGY,A,9,facebook_page_reference,ukr_rus_suspended,0.48443603515625,3,2500,neighbor matching
PRODIGY,B,1,ukr_rus_suspended,covid_political,0.7224180433485242,3,2500,neighbor matching
PRODIGY,B,1,ukr_rus_suspended,election2020,0.9720865885416666,3,2500,neighbor matching
PRODIGY,B,1,ukr_rus_suspended,facebook_page_reference,0.6450792948404948,3,2500,neighbor matching
PRODIGY,B,1,ukr_rus_suspended,twibot20,0.6177006474247686,3,2500,neighbor matching
PRODIGY,B,1,ukr_rus_suspended,ukr_rus_suspended,0.47723388671875,3,2500,neighbor matching
PRODIGY,B,2,election2020,covid_political,0.8876600854190779,3,2500,neighbor matching
PRODIGY,B,2,election2020,election2020,0.98541259765625,3,2500,neighbor matching
PRODIGY,B,2,election2020,facebook_page_reference,0.6378300984700521,3,2500,neighbor matching
PRODIGY,B,2,election2020,twibot20,0.6112913908781828,3,2500,neighbor matching
PRODIGY,B,2,election2020,ukr_rus_suspended,0.4620361328125,3,2500,neighbor matching
PRODIGY,B,3,ukr_rus,covid_political,0.9270876660759066,3,2500,neighbor matching
PRODIGY,B,3,ukr_rus,election2020,0.9900919596354166,3,2500,neighbor matching
PRODIGY,B,3,ukr_rus,facebook_page_reference,0.7036692301432291,3,2500,neighbor matching
PRODIGY,B,3,ukr_rus,twibot20,0.6212750894052012,3,2500,neighbor matching
PRODIGY,B,3,ukr_rus,ukr_rus_suspended,0.5027262369791666,3,2500,neighbor matching
PRODIGY,B,4,facebook_page_reference,covid_political,0.931131621937693,3,2500,neighbor matching
PRODIGY,B,4,facebook_page_reference,election2020,0.9872639973958334,3,2500,neighbor matching
PRODIGY,B,4,facebook_page_reference,facebook_page_reference,0.7750345865885416,3,2500,neighbor matching
PRODIGY,B,4,facebook_page_reference,twibot20,0.6202113540084274,3,2500,neighbor matching
PRODIGY,B,4,facebook_page_reference,ukr_rus_suspended,0.5073649088541666,3,2500,neighbor matching
PRODIGY,B,5,cp_hk,covid_political,0.9175713621539835,3,2500,neighbor matching
PRODIGY,B,5,cp_hk,election2020,0.9856770833333334,3,2500,neighbor matching
PRODIGY,B,5,cp_hk,facebook_page_reference,0.7578945159912109,3,2500,neighbor matching
PRODIGY,B,5,cp_hk,twibot20,0.6221078943323205,3,2500,neighbor matching
PRODIGY,B,5,cp_hk,ukr_rus_suspended,0.4866536458333333,3,2500,neighbor matching
PRODIGY,B,6,covid_political,covid_political,0.9263848198784723,3,2500,neighbor matching
PRODIGY,B,6,covid_political,election2020,0.9867960611979166,3,2500,neighbor matching
PRODIGY,B,6,covid_political,facebook_page_reference,0.7631282806396484,3,2500,neighbor matching
PRODIGY,B,6,covid_political,twibot20,0.6239411389386212,3,2500,neighbor matching
PRODIGY,B,6,covid_political,ukr_rus_suspended,0.47723388671875,3,2500,neighbor matching
PRODIGY,B,7,covid,covid_political,0.9341248877254532,3,2500,neighbor matching
PRODIGY,B,7,covid,election2020,0.987548828125,3,2500,neighbor matching
PRODIGY,B,7,covid,facebook_page_reference,0.7754522959391276,3,2500,neighbor matching
