family,result_family,status,scope,canonical_evidence,qualification,compute_regime
PRODIGY,SSL-to-CLS saturation,complete,"checkpoint trajectories with downstream label-classification ROC-AUC","transfer/ablations/prodigy_nm/saturation/pretrain_saturation and pretrain_saturation_nhop2",qualifying native NM,fixed-compute trajectories
PRODIGY,cross-SSL matrix,complete,"objective lattice and corpus replications","objectives/multitask/multitask_ssl and multitask_ssl_corpora",qualifying only where PRODIGY uses NM for the NM arm,mixed fixed budgets
PRODIGY,downstream CLS matrix,complete,"specialists ladders and all-nine final-core models","transfer/matrices/prodigy_nm/downstream/nm_single_source_downstream; transfer/ablations/prodigy_nm/downstream/nm_ladder_downstream_nhop2; transfer/matrices/cross_model/final_core/data/classification_ladder",qualifying downstream labels,fixed-compute
PRODIGY,mixture diversity to CLS,complete,"fixed-compute mixture ladders and mixture explanation tables","transfer/matrices/cross_model/final_core/data/mixture_explanations and transfer/ablations/prodigy_nm/downstream/nm_ladder_downstream_nhop2",qualifying native NM,fixed-compute
VISION,SSL-to-CLS saturation,partial,"seed 0 all-nine checkpoints at 100 300 900 and 2500; seeds 1 and 2 training on Tucker","Tucker prodigy-vision-all9/state/vision_all9_finalcore",qualifying label-free feature-similarity,fixed-compute; trajectory evaluation pending
VISION,downstream CLS matrix,partial,"five native single-source checkpoints evaluated on five targets at seed 0 plus five-target all-nine terminal evaluation","transfer/matrices/cross_architecture/icl_arch_matrix/data/native_source_900_seed0/classification_all.tsv; Tucker prodigy-vision-all9/log",qualifying label-free feature-similarity,fixed-compute
GILT,all learned-model families,missing,"no registered label-free native SSL implementation","common-NM runs and target-label episodic training exist but are excluded",nonqualifying existing evidence,not-run
SAMGPT,SSL-to-CLS saturation,partial,"four GraphCL checkpoints for final-core physical models; only narrow downstream saturation summaries","transfer/matrices/cross_model/final_core/data/samgpt/three_seed; synthesis/cross_experiment/figures/samgpt_downstream_saturation",qualifying native GraphCL,fixed-compute
SAMGPT,cross-SSL matrix,complete,"three seeds times nine sources times nine targets plus ladders","transfer/matrices/cross_model/final_core/data/results_full_long.tsv",qualifying native GraphCL,fixed-compute
SAMGPT,downstream CLS matrix,complete,"31 physical final-core models times nine downstream targets times three seeds","transfer/matrices/cross_model/final_core/data/samgpt_downstream_cls/three_seed_mean.csv",qualifying downstream labels,fixed-compute
SAMGPT,mixture diversity to CLS,partial,"three prescribed ladder orders including weak-to-strong","transfer/ladders/samgpt_graphcl and transfer/matrices/cross_model/final_core",qualifying native GraphCL,not exhaustive mixture diversity
GraphSAGE,native checkpoint,complete,"one all-graph pilot-v1 checkpoint after 2000 link-prediction updates","Tucker /dataMeR1/phil/social-gfm/experiments/pilot-v1/graphsage-all/checkpoint.pt",qualifying native link prediction,fixed-compute
GraphSAGE,downstream CLS matrix,partial,"existing full-train TwiBot node probe only","Tucker social-gfm/node_probe.py and pilot-v1 outputs",qualifying but narrow and not matched-label-budget,target-supervised probe
MLP,downstream CLS baseline,complete,"four-target target-supervised reference at 100 updates","transfer/matrices/cross_architecture/icl_arch_matrix/FINDINGS.md",qualifying supervised reference,not matched-label-budget
Logistic regression,downstream CLS baseline,complete,"raw-feature episodic control on four targets","transfer/matrices/cross_architecture/icl_arch_matrix/FINDINGS.md",qualifying raw-feature reference,not matched-label-budget
All,adaptation efficiency,pending,"registered 0 1 10 100 labels per class by 0 1 10 100 head updates with seeds 0 1 2","setup/adaptation_efficiency and analysis/evaluation/adaptation_efficiency",implementation complete locally; Tucker execution pending,matched protocol
All,legacy static or temporal LP,excluded,"all results produced by invalid legacy episodic LP path","analysis/evaluation/static_link_prediction_repair and AGENTS.md",never valid evidence,excluded
