record_id	result_status	provenance_quality	model_id	train_setup	checkpoint_step	test_dataset	task	target	shots	split	seed	metric	value	uncertainty	run_id	run_date	run_timestamp	date_source	date_precision	wandb_run_id	wandb_created_at	wandb_state	wandb_match	eval_protocol	source_path	source_row	context_json
2ff6a3dfbdfbf12d	reported	missing:model_id,test_dataset		condition=noise			classification					accuracy	0.057738888888888888						unknown						scripts/experiments/analysis/objectives/topology_vs_features/feature_ablation/data/feature_ablation_results.csv	21	"{""config"":""eval_nm_matrix_covid_to_twibot20_nm_3shot_30way"",""roc_auc"":""0.6323094005108559""}"
5f3b82f5f4b67de3	reported	missing:model_id,test_dataset		condition=noise			classification					accuracy	0.061027777777777778						unknown						scripts/experiments/analysis/objectives/topology_vs_features/feature_ablation/data/feature_ablation_results.csv	5	"{""config"":""eval_nm_matrix_covid_to_covid19_twitter_nm_3shot_30way"",""roc_auc"":""0.6216723178799489""}"
9f477413953c7867	reported	missing:model_id,test_dataset		condition=noise			classification					accuracy	0.063672222222222227						unknown						scripts/experiments/analysis/objectives/topology_vs_features/feature_ablation/data/feature_ablation_results.csv	17	"{""config"":""eval_nm_matrix_covid_to_midterm_nm_3shot_30way"",""roc_auc"":""0.6456561489782886""}"
9759207f17104ec3	reported	missing:model_id,test_dataset		condition=zero			classification					accuracy	0.066011111111111118						unknown						scripts/experiments/analysis/objectives/topology_vs_features/feature_ablation/data/feature_ablation_results.csv	19	"{""config"":""eval_nm_matrix_covid_to_twibot20_nm_3shot_30way"",""roc_auc"":""0.6711134972381864""}"
1190dfa8f55f67d6	reported	missing:model_id,test_dataset		condition=zero			classification					accuracy	0.072749999999999995						unknown						scripts/experiments/analysis/objectives/topology_vs_features/feature_ablation/data/feature_ablation_results.csv	3	"{""config"":""eval_nm_matrix_covid_to_covid19_twitter_nm_3shot_30way"",""roc_auc"":""0.67798119295977""}"
14c7039d647c6a3d	reported	missing:model_id,test_dataset		condition=zero			classification					accuracy	0.086366666666666661						unknown						scripts/experiments/analysis/objectives/topology_vs_features/feature_ablation/data/feature_ablation_results.csv	15	"{""config"":""eval_nm_matrix_covid_to_midterm_nm_3shot_30way"",""roc_auc"":""0.7181939051404854""}"
226a719b030d0422	reported	missing:model_id,test_dataset		condition=permute			classification					accuracy	0.3107388888888889						unknown						scripts/experiments/analysis/objectives/topology_vs_features/feature_ablation/data/feature_ablation_results.csv	16	"{""config"":""eval_nm_matrix_covid_to_midterm_nm_3shot_30way"",""roc_auc"":""0.8851420926883781""}"
70752b30818db081	reported	missing:model_id,test_dataset		condition=intact			classification					accuracy	0.31259999999999999						unknown						scripts/experiments/analysis/objectives/topology_vs_features/feature_ablation/data/feature_ablation_results.csv	14	"{""config"":""eval_nm_matrix_covid_to_midterm_nm_3shot_30way"",""roc_auc"":""0.8836879553639846""}"
bab84380f16ab8bc	reported	missing:model_id,test_dataset		condition=intact			classification					accuracy	0.4062277777777778						unknown						scripts/experiments/analysis/objectives/topology_vs_features/feature_ablation/data/feature_ablation_results.csv	18	"{""config"":""eval_nm_matrix_covid_to_twibot20_nm_3shot_30way"",""roc_auc"":""0.9239770489623245""}"
5ea3be9c561bdade	reported	missing:model_id,test_dataset		condition=permute			classification					accuracy	0.40720555555555554						unknown						scripts/experiments/analysis/objectives/topology_vs_features/feature_ablation/data/feature_ablation_results.csv	20	"{""config"":""eval_nm_matrix_covid_to_twibot20_nm_3shot_30way"",""roc_auc"":""0.9274843112547894""}"
582c6ecdca174f29	reported	missing:model_id,test_dataset		condition=noise			classification					accuracy	0.48999999999999999						unknown						scripts/experiments/analysis/objectives/topology_vs_features/feature_ablation/data/feature_ablation_results.csv	13	"{""config"":""eval_nm_matrix_covid_to_election2020_pl_20shot_lp"",""roc_auc"":""0.48710799999999993""}"
6639bb82375b3e69	reported	missing:model_id,test_dataset		condition=zero			classification					accuracy	0.496						unknown						scripts/experiments/analysis/objectives/topology_vs_features/feature_ablation/data/feature_ablation_results.csv	23	"{""config"":""eval_nm_matrix_covid_to_twibot20_nm_3shot_3way"",""roc_auc"":""0.7002509791666668""}"
d1a22d81e517ab6c	reported	missing:model_id,test_dataset		condition=zero			classification					accuracy	0.50800000000000001						unknown						scripts/experiments/analysis/objectives/topology_vs_features/feature_ablation/data/feature_ablation_results.csv	11	"{""config"":""eval_nm_matrix_covid_to_election2020_pl_20shot_lp"",""roc_auc"":""0.503422""}"
5e4db2a03fd7a7d0	reported	missing:model_id,test_dataset		condition=noise			classification					accuracy	0.52508333333333335						unknown						scripts/experiments/analysis/objectives/topology_vs_features/feature_ablation/data/feature_ablation_results.csv	9	"{""config"":""eval_nm_matrix_covid_to_covid_political_pl_20shot_lp"",""roc_auc"":""0.5349497777777777""}"
e0af4bd17a0ed432	reported	missing:model_id,test_dataset					classification					accuracy	0.58789999999999998						unknown						scripts/experiments/analysis/objectives/topology_vs_features/feature_ablation/data/feature_label_probe_results.csv	5	"{""feature_dim"":""768"",""majority_acc"":""0.5770"",""n_classes"":""2"",""n_labeled"":""56438"",""name"":""ukr_rus_suspended"",""test_accuracy"":""0.5879"",""test_f1_macro"":""0.5706"",""test_roc_auc"":""0.6049""}"
415281d28947f7e0	reported	missing:model_id,test_dataset		source=covid_political			classification					accuracy	0.58858333333333335			2026-08-04	2026-08-04T13:57:02Z	wandb_created_at	timestamp	g5lesxe7	2026-08-04T13:57:02Z	finished	url_id		scripts/experiments/analysis/transfer/ladders/samgpt_graphcl/weak_to_strong/samgpt_weak_to_strong/data/specialist_summary.csv	3	"{""best_loss"":""0.000552223704289645"",""epochs"":""200"",""prompt_slot"":""1"",""roc_auc"":""0.6783194444444444"",""run_name"":""samgpt_specialist_covid_political_20260804T135700Z"",""training_seconds"":""21.65665578842163"",""wandb_url"":""https://wandb.ai/eibl-usc/graph-clip/runs/g5lesxe7""}"
21ad2066607869ab	reported	missing:model_id,test_dataset		condition=zero			classification					accuracy	0.59216666666666662						unknown						scripts/experiments/analysis/objectives/topology_vs_features/feature_ablation/data/feature_ablation_results.csv	7	"{""config"":""eval_nm_matrix_covid_to_covid_political_pl_20shot_lp"",""roc_auc"":""0.6129020833333333""}"
fd33919c26c5f3f4	reported	missing:model_id,test_dataset		condition=noise			classification					accuracy	0.59724999999999995						unknown						scripts/experiments/analysis/objectives/topology_vs_features/feature_ablation/data/feature_ablation_results.csv	28	"{""config"":""eval_nm_matrix_covid_to_twibot20_pl_20shot_lp"",""roc_auc"":""0.6289886388888889""}"
