order,rung,added,source_count,sources,target,in_training,loss,accuracy,positive_probability,negative_probability,probability_margin,prompt_slot,eval_seed,nodes,delta_margin,entry_rung,target_role
A,2,covid19_twitter,2,"ukr_rus_twitter,covid19_twitter",covid19_twitter,True,4.074090156791499e-06,1.0,0.9999966621398926,4.824372354050865e-06,0.9999918341636658,1,10040,150000,0.048532187938690186,2,enters
A,3,midterm,3,"ukr_rus_twitter,covid19_twitter,midterm",covid19_twitter,True,1.2035414329147898e-05,1.0,0.9999982118606568,2.2288422769634053e-05,0.9999759197235109,1,10040,150000,-1.5914440154918275e-05,2,already_included
A,4,covid_political,4,"ukr_rus_twitter,covid19_twitter,midterm,covid_political",covid19_twitter,True,2.5189156076521613e-05,1.0,0.9999910593032836,4.149620508542285e-05,0.99994957447052,1,10040,150000,-2.634525299083368e-05,2,already_included
A,5,election2020,5,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020",covid19_twitter,True,9.208647497871423e-06,1.0,0.999992609024048,1.095231891667936e-05,0.9999816417694092,1,10040,150000,3.2067298889160156e-05,2,already_included
A,6,ukr_rus_suspended,6,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended",covid19_twitter,True,4.6288492740131915e-05,1.0,0.9999923706054688,8.497935777995735e-05,0.999907374382019,1,10040,150000,-7.426738739013672e-05,2,already_included
A,7,twibot20,7,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",covid19_twitter,True,2.9893353712395765e-05,1.0,0.9999963641166688,5.609211075352505e-05,0.9999402761459352,1,10040,150000,3.290176391612665e-05,2,already_included
A,8,cp_hk_twitter,8,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter",covid19_twitter,True,3.2387491955887526e-05,1.0,0.9999963641166688,6.110022513894364e-05,0.999935269355774,1,10040,150000,-5.0067901611328125e-06,2,already_included
A,9,facebook_page_reference,9,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter,facebook_page_reference",covid19_twitter,True,7.868648390285671e-05,1.0,0.9999794960021972,0.0001368489902233,0.999842643737793,1,10040,150000,-9.262561798106805e-05,2,already_included
A,2,covid19_twitter,2,"ukr_rus_twitter,covid19_twitter",covid_political,False,0.1237523332238197,0.9835138320922852,1.0,0.0352165848016738,0.9647834300994872,3,10042,78672,0.07785958051681507,4,held_out
A,3,midterm,3,"ukr_rus_twitter,covid19_twitter,midterm",covid_political,False,0.0166302155703306,0.9964028000831604,1.0,0.007888744585216,0.9921112656593324,3,10042,78672,0.027327835559845193,4,held_out
A,4,covid_political,4,"ukr_rus_twitter,covid19_twitter,midterm,covid_political",covid_political,True,5.947409590589814e-06,1.0,0.9999998807907104,1.1658994480967522e-05,0.9999881982803344,3,10042,78672,0.007876932621001975,4,enters
A,5,election2020,5,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020",covid_political,True,1.995144884858746e-06,1.0,0.9999998807907104,3.85019120585639e-06,0.9999960064888,3,10042,78672,7.808208465687194e-06,4,already_included
A,6,ukr_rus_suspended,6,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended",covid_political,True,9.342819794255774e-06,1.0,1.0,1.8526076019043103e-05,0.9999814629554749,3,10042,78672,-1.4543533325195312e-05,4,already_included
A,7,twibot20,7,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20",covid_political,True,6.436909643525723e-06,1.0,1.0,1.2837530448450709e-05,0.9999871850013732,3,10042,78672,5.722045898326478e-06,4,already_included
A,8,cp_hk_twitter,8,"ukr_rus_twitter,covid19_twitter,midterm,covid_political,election2020,ukr_rus_suspended,twibot20,cp_hk_twitter",covid_political,True,5.572635473072296e-06,1.0,1.0,1.1106983947684055e-05,0.9999889135360718,3,10042,78672,1.7285346985973504e-06,4,already_included
