model_id	checkpoint	sources	training_seed	checkpoint_step	training_revision	checkpoint_sha256
nmi_baseline_r1_s0	/dataMeR1/phil/gfm/prodigy-nmi-overnight/log/production/train_20260904_023434/state/nmi_baseline_r1_s0_20260904_023439_017/checkpoint/state_dict_6000.ckpt	ukr_rus	0	6000	6260524ef6a5833ea1628712e901904db5fb5b75	91354ee298059c84246d7908c85dad7779c2631657e315ecd0026bdc83b3e722
nmi_baseline_r1_s1	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_baseline_r1_s1_20260908_132652_000/checkpoint/state_dict_8000.ckpt	ukr_rus	1	8000	f6593005900fead88a6a339d4c6f0e6e8ab68438	4cc9cb910da07b063d7688848573d8a4720049f3047a12f69e15e9fc17cb0172
nmi_baseline_r1_s2	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_baseline_r1_s2_20260908_132652_048/checkpoint/state_dict_8000.ckpt	ukr_rus	2	8000	f6593005900fead88a6a339d4c6f0e6e8ab68438	3bad18d8ecea8561f2f44af853c1d503541e90d4d39e9e1cbe92af8e4d324639
nmi_baseline_r2_s0	/dataMeR1/phil/gfm/prodigy-nmi-overnight/log/production/train_20260904_023434/state/nmi_baseline_r2_s0_20260904_023439_034/checkpoint/state_dict_10000.ckpt	ukr_rus,covid	0	10000	6260524ef6a5833ea1628712e901904db5fb5b75	ef1cd5106731d5d37749baa6e838fcd7a5ae7d133566bd1f3d2c5fd07f0c43a6
nmi_baseline_r2_s1	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_baseline_r2_s1_20260908_132652_001/checkpoint/state_dict_6000.ckpt	ukr_rus,covid	1	6000	f6593005900fead88a6a339d4c6f0e6e8ab68438	cacfe7c2910e61b7515a003fb6f32907db6d17be9fe2862cdffe50a09ae450b8
nmi_baseline_r2_s2	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_baseline_r2_s2_20260908_132652_049/checkpoint/state_dict_10000.ckpt	ukr_rus,covid	2	10000	f6593005900fead88a6a339d4c6f0e6e8ab68438	24099e260f8c39f5e6f03417d2a2b256388adcdfbad5a28bfd8afde489cdaa33
nmi_baseline_r3_s0	/dataMeR1/phil/gfm/prodigy-nmi-overnight/log/production/train_20260904_023434/state/nmi_baseline_r3_s0_20260904_023439_051/checkpoint/state_dict_10000.ckpt	ukr_rus,covid,midterm	0	10000	6260524ef6a5833ea1628712e901904db5fb5b75	0e2545d8c286c2f992108bf451b1f248ffeb9cd9e83bc790667e6a712e75fd05
nmi_baseline_r3_s1	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_baseline_r3_s1_20260908_132652_002/checkpoint/state_dict_4000.ckpt	ukr_rus,covid,midterm	1	4000	f6593005900fead88a6a339d4c6f0e6e8ab68438	8ecb95612e4b837f614371675473c7374bb4b1bd4426d4e7c67fc65ed2187a1e
nmi_baseline_r3_s2	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_baseline_r3_s2_20260908_132652_050/checkpoint/state_dict_10000.ckpt	ukr_rus,covid,midterm	2	10000	f6593005900fead88a6a339d4c6f0e6e8ab68438	5de172591c024feb51142bfb53cc39960907bc7c86337d1370812de6ff300241
nmi_baseline_r4_s0	/dataMeR1/phil/gfm/prodigy-nmi-overnight/log/production/train_20260904_023434/state/nmi_baseline_r4_s0_20260904_023439_068/checkpoint/state_dict_10000.ckpt	ukr_rus,covid,midterm,covid_political	0	10000	6260524ef6a5833ea1628712e901904db5fb5b75	d454b97619d801365d1735e9afcfcaa8aa40ea56a9d72b1479c1b27c40051ec2
