arm	rung	training_seed	model_id	sources	checkpoint_step	checkpoint	checkpoint_sha256	training_revision	dataset	episodes	queries	episode_fingerprint	roc_auc	accuracy	f1
baseline	1	0	nmi_baseline_r1_s0	ukr_rus	6000	/dataMeR1/phil/gfm/prodigy-nmi-overnight/log/production/train_20260904_023434/state/nmi_baseline_r1_s0_20260904_023439_017/checkpoint/state_dict_6000.ckpt	91354ee298059c84246d7908c85dad7779c2631657e315ecd0026bdc83b3e722	6260524ef6a5833ea1628712e901904db5fb5b75	covid_political	128	3072	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	0.947469640661169	0.8994140625	0.8216964800923254
baseline	1	0	nmi_baseline_r1_s0	ukr_rus	6000	/dataMeR1/phil/gfm/prodigy-nmi-overnight/log/production/train_20260904_023434/state/nmi_baseline_r1_s0_20260904_023439_017/checkpoint/state_dict_6000.ckpt	91354ee298059c84246d7908c85dad7779c2631657e315ecd0026bdc83b3e722	6260524ef6a5833ea1628712e901904db5fb5b75	election2020	128	256	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	0.98760986328125	0.984375	0.9846153846153847
baseline	1	0	nmi_baseline_r1_s0	ukr_rus	6000	/dataMeR1/phil/gfm/prodigy-nmi-overnight/log/production/train_20260904_023434/state/nmi_baseline_r1_s0_20260904_023439_017/checkpoint/state_dict_6000.ckpt	91354ee298059c84246d7908c85dad7779c2631657e315ecd0026bdc83b3e722	6260524ef6a5833ea1628712e901904db5fb5b75	facebook_page_reference	128	1024	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	0.7523956298828125	0.6796875	0.6790606653620352
baseline	1	0	nmi_baseline_r1_s0	ukr_rus	6000	/dataMeR1/phil/gfm/prodigy-nmi-overnight/log/production/train_20260904_023434/state/nmi_baseline_r1_s0_20260904_023439_017/checkpoint/state_dict_6000.ckpt	91354ee298059c84246d7908c85dad7779c2631657e315ecd0026bdc83b3e722	6260524ef6a5833ea1628712e901904db5fb5b75	twibot20	128	3072	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	0.6708085801866319	0.6292317708333334	0.6394428616650839
baseline	1	0	nmi_baseline_r1_s0	ukr_rus	6000	/dataMeR1/phil/gfm/prodigy-nmi-overnight/log/production/train_20260904_023434/state/nmi_baseline_r1_s0_20260904_023439_017/checkpoint/state_dict_6000.ckpt	91354ee298059c84246d7908c85dad7779c2631657e315ecd0026bdc83b3e722	6260524ef6a5833ea1628712e901904db5fb5b75	ukr_rus_suspended	128	256	c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347	0.50933837890625	0.50390625	0.4816326530612245
baseline	1	1	nmi_baseline_r1_s1	ukr_rus	8000	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_baseline_r1_s1_20260908_132652_000/checkpoint/state_dict_8000.ckpt	4cc9cb910da07b063d7688848573d8a4720049f3047a12f69e15e9fc17cb0172	f6593005900fead88a6a339d4c6f0e6e8ab68438	covid_political	128	3072	db497c203ef6c4249fb91b34083c59d3c400dc84b821c0835e3d5426fbbe2750	0.9432686699761286	0.888671875	0.8032220943613348
baseline	1	1	nmi_baseline_r1_s1	ukr_rus	8000	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_baseline_r1_s1_20260908_132652_000/checkpoint/state_dict_8000.ckpt	4cc9cb910da07b063d7688848573d8a4720049f3047a12f69e15e9fc17cb0172	f6593005900fead88a6a339d4c6f0e6e8ab68438	election2020	128	256	4b5288ebc0896afebadb04ad14ebc9ec53fb1a88beeae490bd1d31ace91f14ef	0.9869384765625	0.984375	0.9846153846153847
baseline	1	1	nmi_baseline_r1_s1	ukr_rus	8000	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_baseline_r1_s1_20260908_132652_000/checkpoint/state_dict_8000.ckpt	4cc9cb910da07b063d7688848573d8a4720049f3047a12f69e15e9fc17cb0172	f6593005900fead88a6a339d4c6f0e6e8ab68438	facebook_page_reference	128	1024	df2330ab1920415c5c98c8ec00ef3e640a961ff90514a04bf5074d09529a0afe	0.7557716369628906	0.68359375	0.6779324055666004
baseline	1	1	nmi_baseline_r1_s1	ukr_rus	8000	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_baseline_r1_s1_20260908_132652_000/checkpoint/state_dict_8000.ckpt	4cc9cb910da07b063d7688848573d8a4720049f3047a12f69e15e9fc17cb0172	f6593005900fead88a6a339d4c6f0e6e8ab68438	twibot20	128	3072	c52eedbda4ef0539387be507588f0477560fc57987270d62405daeda5fe6d92d	0.6419304741753473	0.6051432291666666	0.6162606770009491
baseline	1	1	nmi_baseline_r1_s1	ukr_rus	8000	/dataMeR1/phil/gfm/prodigy-paper-remainder-opt/log/paper_flagship_ladders/20260908/seeds_1-2/state/nmi_baseline_r1_s1_20260908_132652_000/checkpoint/state_dict_8000.ckpt	4cc9cb910da07b063d7688848573d8a4720049f3047a12f69e15e9fc17cb0172	f6593005900fead88a6a339d4c6f0e6e8ab68438	ukr_rus_suspended	128	256	c4b969d4c4f558104e8052335698b2ea62a3f94fa5af7e021a7bf0d46e2e3347	0.5301513671875	0.52734375	0.5363984674329502
