batch,draw,support_slot,center,original_context_nodes,draw_context_nodes,context_jaccard,node_set_changed,graph_tensors_changed
0,0,0,14358,12,12,1.0,False,False
0,0,1,3112,94,94,1.0,False,False
0,0,2,82100,29,29,1.0,False,False
0,0,3,105152,85,85,1.0,False,False
0,0,4,28418,29,29,1.0,False,False
0,0,5,102273,85,85,1.0,False,False
0,0,6,116933,89,89,1.0,False,False
0,0,7,65421,98,98,1.0,False,False
0,0,8,58920,23,23,1.0,False,False
0,0,9,97567,84,84,1.0,False,False
0,0,10,58958,98,98,1.0,False,False
0,0,11,138129,88,88,1.0,False,False
0,0,12,10374,88,88,1.0,False,False
0,0,13,36777,93,93,1.0,False,False
0,0,14,82745,64,64,1.0,False,False
0,0,15,149706,83,83,1.0,False,False
0,0,16,17575,78,78,1.0,False,False
0,0,17,5231,39,39,1.0,False,False
0,0,18,89489,88,88,1.0,False,False
0,0,19,67143,18,18,1.0,False,False
0,0,20,31676,6,6,1.0,False,False
0,0,21,93151,93,93,1.0,False,False
0,0,22,28196,30,30,1.0,False,False
0,0,23,41438,62,62,1.0,False,False
0,0,24,81454,96,96,1.0,False,False
0,0,25,70740,31,31,1.0,False,False
0,0,26,143500,0,0,1.0,False,False
0,0,27,39922,57,57,1.0,False,False
0,0,28,78623,0,0,1.0,False,False
0,0,29,55447,94,94,1.0,False,False
0,0,30,126312,62,62,1.0,False,False
0,0,31,41509,0,0,1.0,False,False
0,0,32,127549,62,62,1.0,False,False
0,0,33,139767,13,13,1.0,False,False
0,0,34,66755,92,92,1.0,False,False
0,0,35,157999,85,85,1.0,False,False
0,0,36,54222,88,88,1.0,False,False
0,0,37,30852,99,99,1.0,False,False
0,0,38,53013,94,94,1.0,False,False
0,0,39,28109,1,1,1.0,False,False
0,0,40,115860,32,32,1.0,False,False
0,0,41,5440,56,56,1.0,False,False
0,0,42,20885,85,85,1.0,False,False
0,0,43,71253,85,85,1.0,False,False
0,0,44,42722,84,84,1.0,False,False
0,0,45,1811,70,70,1.0,False,False
0,0,46,68335,76,76,1.0,False,False
0,0,47,72621,90,90,1.0,False,False
0,0,48,82385,78,78,1.0,False,False
0,0,49,84997,0,0,1.0,False,False
0,0,50,3849,95,95,1.0,False,False
0,0,51,51490,0,0,1.0,False,False
0,0,52,18013,71,71,1.0,False,False
0,0,53,7598,10,10,1.0,False,False
0,0,54,145769,98,98,1.0,False,False
0,0,55,101394,88,88,1.0,False,False
0,0,56,147682,95,95,1.0,False,False
0,0,57,107126,5,5,1.0,False,False
0,0,58,148513,67,67,1.0,False,False
0,0,59,5438,68,68,1.0,False,False
0,0,60,88755,67,67,1.0,False,False
0,0,61,36626,92,92,1.0,False,False
0,0,62,28418,29,29,1.0,False,False
0,0,63,157094,93,93,1.0,False,False
0,0,64,12645,40,40,1.0,False,False
0,0,65,39264,94,94,1.0,False,False
0,0,66,94412,0,0,1.0,False,False
0,0,67,51199,90,90,1.0,False,False
0,0,68,66992,89,89,1.0,False,False
0,0,69,10865,0,0,1.0,False,False
0,0,70,137894,93,93,1.0,False,False
0,0,71,65350,83,83,1.0,False,False
0,0,72,75442,78,78,1.0,False,False
0,0,73,27470,19,19,1.0,False,False
0,0,74,79981,98,98,1.0,False,False
0,0,75,33271,0,0,1.0,False,False
