run_id	kind	target	sources	seed
ladder_k2_ukr_rus_suspended-election2020_s0	ladder_k2	_	ukr_rus_suspended,election2020	0
ladder_k3_ukr_rus_suspended-election2020-twibot20_s0	ladder_k3	_	ukr_rus_suspended,election2020,twibot20	0
ladder_k4_ukr_rus_suspended-election2020-twibot20-facebook_page_reference_s0	ladder_k4	_	ukr_rus_suspended,election2020,twibot20,facebook_page_reference	0
ladder_k5_ukr_rus_suspended-election2020-twibot20-facebook_page_reference-cora_s0	ladder_k5	_	ukr_rus_suspended,election2020,twibot20,facebook_page_reference,cora	0
ladder_k2_covid_political-election2020_s0	ladder_k2	_	covid_political,election2020	0
ladder_k3_covid_political-election2020-twibot20_s0	ladder_k3	_	covid_political,election2020,twibot20	0
ladder_k4_covid_political-election2020-twibot20-facebook_page_reference_s0	ladder_k4	_	covid_political,election2020,twibot20,facebook_page_reference	0
ladder_k5_covid_political-election2020-twibot20-facebook_page_reference-cora_s0	ladder_k5	_	covid_political,election2020,twibot20,facebook_page_reference,cora	0
ladder_k2_covid_political-ukr_rus_suspended_s0	ladder_k2	_	covid_political,ukr_rus_suspended	0
ladder_k3_covid_political-ukr_rus_suspended-twibot20_s0	ladder_k3	_	covid_political,ukr_rus_suspended,twibot20	0
ladder_k4_covid_political-ukr_rus_suspended-twibot20-facebook_page_reference_s0	ladder_k4	_	covid_political,ukr_rus_suspended,twibot20,facebook_page_reference	0
ladder_k5_covid_political-ukr_rus_suspended-twibot20-facebook_page_reference-cora_s0	ladder_k5	_	covid_political,ukr_rus_suspended,twibot20,facebook_page_reference,cora	0
ladder_k3_covid_political-ukr_rus_suspended-election2020_s0	ladder_k3	_	covid_political,ukr_rus_suspended,election2020	0
ladder_k4_covid_political-ukr_rus_suspended-election2020-facebook_page_reference_s0	ladder_k4	_	covid_political,ukr_rus_suspended,election2020,facebook_page_reference	0
ladder_k5_covid_political-ukr_rus_suspended-election2020-facebook_page_reference-cora_s0	ladder_k5	_	covid_political,ukr_rus_suspended,election2020,facebook_page_reference,cora	0
ladder_k4_covid_political-ukr_rus_suspended-election2020-twibot20_s0	ladder_k4	_	covid_political,ukr_rus_suspended,election2020,twibot20	0
ladder_k5_covid_political-ukr_rus_suspended-election2020-twibot20-cora_s0	ladder_k5	_	covid_political,ukr_rus_suspended,election2020,twibot20,cora	0
ladder_k5_covid_political-ukr_rus_suspended-election2020-twibot20-facebook_page_reference_s0	ladder_k5	_	covid_political,ukr_rus_suspended,election2020,twibot20,facebook_page_reference	0
