train_id	eval_id	roc_auc	result_status	run_id	run_name	created_at	pretrained_model_run	n_shots	n_way	n_query	eval_random_query	test_len_cap	val_len_cap	task_name	n_hop
covid19_twitter+lp	covid19_twitter+lp	0.9550696885	void_pre_20260723	9z4xdyq6	eval_covid19_twitter_lp_to_covid19_twitter_lp_3shot_13_04_2026_22_07_31	2026-04-14T05:07:36Z	state/train1_covid19_twitter_lp_1p5m_13_04_2026_15_42_52/checkpoint/state_dict_28000.ckpt	3	1	12		1000	1000	temporal_link_prediction	2
covid19_twitter+lp	covid19_twitter+nm	0.9416737768	reported_legacy	koynarmy	eval_covid19_twitter_lp_to_covid19_twitter_nm_3shot_05_05_2026_00_14_00	2026-05-05T07:14:05Z	state/train1_covid19_twitter_lp_1p5m_13_04_2026_15_42_52/checkpoint/state_dict_28000.ckpt	3	3	12	False	1000	1000	neighbor_matching	2
covid19_twitter+lp	covid19_twitter+pl	0.6248218428	reported_legacy	lxi84wpm	eval_covid19_twitter_lp_to_covid19_twitter_pl_3shot_05_05_2026_00_16_03	2026-05-05T07:16:10Z	state/train1_covid19_twitter_lp_1p5m_13_04_2026_15_42_52/checkpoint/state_dict_28000.ckpt	3	2	12	False	1000	1000	classification	2
covid19_twitter+lp	covid_political+nm	0.6076425779	reported_legacy	9qpl8ias	eval_covid19_twitter_lp_to_covid_political_nm_3shot_05_05_2026_00_26_34	2026-05-05T07:26:36Z	state/train1_covid19_twitter_lp_1p5m_13_04_2026_15_42_52/checkpoint/state_dict_28000.ckpt	3	3	12	False	500	500	neighbor_matching	2
covid19_twitter+lp	covid_political+pl	0.6013128694	reported_legacy	l00zh7mx	eval_covid19_twitter_lp_to_covid_political_pl_3shot_05_05_2026_00_29_45	2026-05-05T07:29:47Z	state/train1_covid19_twitter_lp_1p5m_13_04_2026_15_42_52/checkpoint/state_dict_28000.ckpt	3	2	12	False	500	500	classification	2
covid19_twitter+lp	election2020+nm	0.6356937027	reported_legacy	mbkz3gm9	eval_covid19_twitter_lp_to_election2020_nm_3shot_05_05_2026_02_22_58	2026-05-05T09:23:00Z	state/train1_covid19_twitter_lp_1p5m_13_04_2026_15_42_52/checkpoint/state_dict_28000.ckpt	3	3	12	False	500	500	neighbor_matching	2
covid19_twitter+lp	election2020+pl	0.7017853206	reported_legacy	71filkx8	eval_covid19_twitter_lp_to_election2020_pl_3shot_05_05_2026_02_31_32	2026-05-05T09:31:35Z	state/train1_covid19_twitter_lp_1p5m_13_04_2026_15_42_52/checkpoint/state_dict_28000.ckpt	3	2	12	False	500	500	classification	2
covid19_twitter+lp	midterm+lp	0.7835197054	void_pre_20260723	odgf64mo	eval_covid19_twitter_lp_to_midterm_lp_3shot_13_04_2026_22_03_52	2026-04-14T05:03:54Z	state/train1_covid19_twitter_lp_1p5m_13_04_2026_15_42_52/checkpoint/state_dict_28000.ckpt	3	1	12		1000	1000	temporal_link_prediction	2
covid19_twitter+lp	midterm+nm	0.8038562306	reported_legacy	l0q851e9	eval_covid19_twitter_lp_to_midterm_nm_3shot_05_05_2026_00_51_24	2026-05-05T07:51:26Z	state/train1_covid19_twitter_lp_1p5m_13_04_2026_15_42_52/checkpoint/state_dict_28000.ckpt	3	3	12	False	1000	1000	neighbor_matching	2
covid19_twitter+lp	midterm+pl	0.5217621479	reported_legacy	30xp62y5	eval_covid19_twitter_lp_to_midterm_pl_3shot_05_05_2026_00_55_07	2026-05-05T07:55:10Z	state/train1_covid19_twitter_lp_1p5m_13_04_2026_15_42_52/checkpoint/state_dict_28000.ckpt	3	2	12	False	1000	1000	classification	2
