train_id	eval_id	shots	roc_auc	result_status	run_id	run_name	created_at
covid19_twitter+lp	covid19_twitter+lp	0	0.6774616833	void_pre_20260723	8a5uefzq	eval_covid19_twitter_lp_to_covid19_twitter_lp_0shot_13_04_2026_22_00_28	2026-04-14T05:00:33Z
covid19_twitter+lp	covid19_twitter+lp	1	0.9427895296	void_pre_20260723	pam0oedh	eval_covid19_twitter_lp_to_covid19_twitter_lp_1shot_13_04_2026_22_03_49	2026-04-14T05:03:54Z
covid19_twitter+lp	covid19_twitter+lp	3	0.9550696885	void_pre_20260723	9z4xdyq6	eval_covid19_twitter_lp_to_covid19_twitter_lp_3shot_13_04_2026_22_07_31	2026-04-14T05:07:36Z
covid19_twitter+lp	covid19_twitter+lp	10	0.9495689900	void_pre_20260723	1kn7o6xx	eval_covid19_twitter_lp_to_covid19_twitter_lp_10shot_13_04_2026_22_12_09	2026-04-14T05:12:14Z
covid19_twitter+lp	covid19_twitter+nm	0	0.5013392985	reported_legacy	75o1yjd8	eval_covid19_twitter_lp_to_covid19_twitter_nm_0shot_05_05_2026_00_11_32	2026-05-05T07:11:37Z
covid19_twitter+lp	covid19_twitter+nm	1	0.9136874815	reported_legacy	t2th0vy1	eval_covid19_twitter_lp_to_covid19_twitter_nm_1shot_13_04_2026_22_01_58	2026-04-14T05:02:02Z
covid19_twitter+lp	covid19_twitter+nm	3	0.9416737768	reported_legacy	koynarmy	eval_covid19_twitter_lp_to_covid19_twitter_nm_3shot_05_05_2026_00_14_00	2026-05-05T07:14:05Z
covid19_twitter+lp	covid19_twitter+nm	10	0.9453758247	reported_legacy	3nopde3g	eval_covid19_twitter_lp_to_covid19_twitter_nm_10shot_13_04_2026_22_09_16	2026-04-14T05:09:20Z
covid19_twitter+lp	covid19_twitter+pl	0	0.4598337638	reported_legacy	hkohis34	eval_covid19_twitter_lp_to_covid19_twitter_pl_0shot_05_05_2026_00_13_15	2026-05-05T07:13:20Z
covid19_twitter+lp	covid19_twitter+pl	1	0.5791663701	reported_legacy	mbnpaij6	eval_covid19_twitter_lp_to_covid19_twitter_pl_1shot_13_04_2026_22_04_39	2026-04-14T05:04:43Z
covid19_twitter+lp	covid19_twitter+pl	3	0.6248218428	reported_legacy	lxi84wpm	eval_covid19_twitter_lp_to_covid19_twitter_pl_3shot_05_05_2026_00_16_03	2026-05-05T07:16:10Z
covid19_twitter+lp	covid19_twitter+pl	10	0.6650106708	reported_legacy	dq4qw4pu	eval_covid19_twitter_lp_to_covid19_twitter_pl_10shot_13_04_2026_22_13_21	2026-04-14T05:13:25Z
covid19_twitter+lp	covid_political+nm	0	0.4980770818	reported_legacy	2ruuz96o	eval_covid19_twitter_lp_to_covid_political_nm_0shot_05_05_2026_00_23_20	2026-05-05T07:23:22Z
covid19_twitter+lp	covid_political+nm	1	0.5934831369	reported_legacy	lmak1vg8	eval_covid19_twitter_lp_to_covid_political_nm_1shot_23_04_2026_00_54_14	2026-04-23T07:54:16Z
covid19_twitter+lp	covid_political+nm	3	0.6076425779	reported_legacy	9qpl8ias	eval_covid19_twitter_lp_to_covid_political_nm_3shot_05_05_2026_00_26_34	2026-05-05T07:26:36Z
covid19_twitter+lp	covid_political+nm	10	0.6187719972	reported_legacy	w44qik3e	eval_covid19_twitter_lp_to_covid_political_nm_10shot_23_04_2026_00_57_47	2026-04-23T07:57:48Z
covid19_twitter+lp	covid_political+pl	0	0.6513279078	reported_legacy	sglwkat6	eval_covid19_twitter_lp_to_covid_political_pl_0shot_05_05_2026_00_25_52	2026-05-05T07:25:54Z
covid19_twitter+lp	covid_political+pl	1	0.5769874961	reported_legacy	tpxubu3m	eval_covid19_twitter_lp_to_covid_political_pl_1shot_23_04_2026_00_57_02	2026-04-23T07:57:03Z
covid19_twitter+lp	covid_political+pl	3	0.6013128694	reported_legacy	l00zh7mx	eval_covid19_twitter_lp_to_covid_political_pl_3shot_05_05_2026_00_29_45	2026-05-05T07:29:47Z
covid19_twitter+lp	covid_political+pl	10	0.6226053017	reported_legacy	r9b139hc	eval_covid19_twitter_lp_to_covid_political_pl_10shot_23_04_2026_01_02_22	2026-04-23T08:02:24Z
